QLD, Life tables (period 5x5), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01771  0.01744  0.11  100000    1744   98453  7135206  71.35
1971-1974      1-4      0.00097  0.00388  1.56   98256     381  392096  7036753  71.62
1971-1974      5-9      0.00039  0.00192  2.25   97875     188  488856  6644657  67.89
1971-1974     10-14     0.00037  0.00185  2.70   97686     181  488015  6155801  63.02
1971-1974     15-19     0.00134  0.00668  2.95   97505     652  486189  5667786  58.13
1971-1974     20-24     0.00142  0.00709  2.39   96853     687  482475  5181598  53.50
1971-1974     25-29     0.00111  0.00555  2.49   96167     534  479495  4699123  48.86
1971-1974     30-34     0.00134  0.00669  2.58   95633     640  476617  4219628  44.12
1971-1974     35-39     0.00199  0.00989  2.65   94993     940  472758  3743011  39.40
1971-1974     40-44     0.00318  0.01581  2.69   94053    1487  466837  3270253  34.77
1971-1974     45-49     0.00530  0.02618  2.66   92567    2424  457167  2803416  30.29
1971-1974     50-54     0.00806  0.03956  2.62   90143    3566  442228  2346249  26.03
1971-1974     55-59     0.01245  0.06048  2.63   86577    5236  420485  1904020  21.99
1971-1974     60-64     0.01922  0.09193  2.65   81341    7478  389099  1483535  18.24
1971-1974     65-69     0.02835  0.13270  2.60   73863    9801  345772  1094436  14.82
1971-1974     70-74     0.04419  0.19983  2.61   64062   12801  289667   748664  11.69
1971-1974     75-79     0.07018  0.29935  2.55   51260   15345  218643   458998   8.95
1971-1974     80-84     0.11025  0.43063  2.46   35916   15467  140280   240355   6.69
1971-1974     85-89     0.17365  0.59295  2.33   20449   12125   69826   100075   4.89
1971-1974     90-94     0.24985  0.73290  2.18    8324    6101   24417    30250   3.63
1971-1974     95-99     0.36660  0.85769  1.90    2223    1907    5202     5833   2.62
1971-1974    100-104    0.49389  0.93007  1.65     316     294     596      631   1.99
1971-1974    105-109    0.62508  0.96648  1.43      22      21      34       35   1.59
1971-1974    110+       0.72727  1.00000  1.38       1       1       1        1   1.38
1975-1979        0      0.01333  0.01318  0.12  100000    1318   98843  7323049  73.23
1975-1979      1-4      0.00076  0.00304  1.64   98682     300  394020  7224206  73.21
1975-1979      5-9      0.00033  0.00164  2.31   98382     161  491476  6830185  69.43
1975-1979     10-14     0.00033  0.00165  2.69   98221     162  490731  6338710  64.54
1975-1979     15-19     0.00114  0.00571  2.97   98059     560  489160  5847979  59.64
1975-1979     20-24     0.00126  0.00628  2.38   97499     612  485889  5358819  54.96
1975-1979     25-29     0.00102  0.00507  2.40   96887     491  483157  4872930  50.29
1975-1979     30-34     0.00118  0.00587  2.55   96396     566  480597  4389773  45.54
1975-1979     35-39     0.00171  0.00854  2.65   95830     818  477226  3909176  40.79
1975-1979     40-44     0.00283  0.01406  2.73   95012    1336  472028  3431950  36.12
1975-1979     45-49     0.00470  0.02326  2.69   93676    2179  463356  2959922  31.60
1975-1979     50-54     0.00722  0.03548  2.67   91497    3246  449910  2496566  27.29
1975-1979     55-59     0.01093  0.05329  2.68   88251    4703  430345  2046656  23.19
1975-1979     60-64     0.01689  0.08121  2.64   83548    6785  401725  1616311  19.35
1975-1979     65-69     0.02536  0.11963  2.64   76763    9183  362170  1214585  15.82
1975-1979     70-74     0.03812  0.17461  2.60   67580   11800  309535   852416  12.61
1975-1979     75-79     0.06067  0.26397  2.54   55779   14724  242675   542881   9.73
1975-1979     80-84     0.09707  0.39122  2.52   41055   16062  165468   300207   7.31
1975-1979     85-89     0.15266  0.54465  2.37   24994   13613   89168   134739   5.39
1975-1979     90-94     0.22179  0.68568  2.22   11381    7804   35185    45571   4.00
1975-1979     95-99     0.32721  0.82259  1.98    3577    2943    8993    10386   2.90
1975-1979    100-104    0.44595  0.90817  1.74     635     576    1292     1393   2.20
1975-1979    105-109    0.57352  0.95500  1.51      58      56      97      101   1.73
1975-1979    110+       0.67660  1.00000  1.48       3       3       4        4   1.48
1980-1984        0      0.01010  0.01001  0.13  100000    1001   99128  7511922  75.12
1980-1984      1-4      0.00060  0.00240  1.59   98999     238  395423  7412794  74.88
1980-1984      5-9      0.00024  0.00122  2.34   98761     121  493486  7017371  71.05
1980-1984     10-14     0.00029  0.00144  2.85   98641     143  492897  6523885  66.14
1980-1984     15-19     0.00089  0.00446  3.02   98498     440  491620  6030988  61.23
1980-1984     20-24     0.00109  0.00541  2.39   98058     531  488905  5539368  56.49
1980-1984     25-29     0.00096  0.00480  2.41   97528     468  486426  5050463  51.78
1980-1984     30-34     0.00104  0.00517  2.55   97059     502  484070  4564037  47.02
1980-1984     35-39     0.00126  0.00627  2.67   96558     606  481376  4079967  42.25
1980-1984     40-44     0.00214  0.01066  2.72   95952    1023  477431  3598591  37.50
1980-1984     45-49     0.00359  0.01780  2.69   94929    1690  470751  3121160  32.88
1980-1984     50-54     0.00586  0.02892  2.69   93240    2697  459963  2650409  28.43
1980-1984     55-59     0.00941  0.04603  2.67   90543    4168  442990  2190446  24.19
1980-1984     60-64     0.01425  0.06893  2.64   86375    5954  417818  1747456  20.23
1980-1984     65-69     0.02261  0.10734  2.65   80421    8632  381816  1329638  16.53
1980-1984     70-74     0.03519  0.16240  2.62   71789   11658  331254   947822  13.20
1980-1984     75-79     0.05486  0.24204  2.57   60131   14554  265277   616568  10.25
