ACT, Death rates (period 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.012917        0.019620        0.016356
1971-1974      1-4             0.000763        0.001016        0.000893
1971-1974      5-9             0.000602        0.000434        0.000516
1971-1974     10-14            0.000451        0.000999        0.000732
1971-1974     15-19            0.000864        0.001916        0.001390
1971-1974     20-24            0.000782        0.001593        0.001183
1971-1974     25-29            0.000781        0.000928        0.000857
1971-1974     30-34            0.001064        0.001225        0.001148
1971-1974     35-39            0.001316        0.001900        0.001619
1971-1974     40-44            0.002537        0.002735        0.002641
1971-1974     45-49            0.002760        0.004508        0.003676
1971-1974     50-54            0.003809        0.006367        0.005159
1971-1974     55-59            0.005960        0.012961        0.009577
1971-1974     60-64            0.011687        0.021864        0.016855
1971-1974     65-69            0.015205        0.032774        0.023521
1971-1974     70-74            0.037480        0.060862        0.047272
1971-1974     75-79            0.061777        0.082496        0.069029
1971-1974     80-84            0.073715        0.081055        0.076119
1971-1974     85-89            0.117083        0.126817        0.120334
1971-1974     90-94            0.153692        0.245028        0.184760
1971-1974     95-99            0.209874        0.700015        0.281564
1971-1974    100-104           0.000000        1.685393        0.870827
1971-1974    105-109                 .              .              .
1971-1974    110+                    .              .              .
1975-1979        0             0.011401        0.014772        0.013130
1975-1979      1-4             0.000795        0.000651        0.000721
1975-1979      5-9             0.000196        0.000508        0.000356
1975-1979     10-14            0.000472        0.000534        0.000504
1975-1979     15-19            0.000689        0.001354        0.001029
1975-1979     20-24            0.000863        0.001708        0.001275
1975-1979     25-29            0.000734        0.001089        0.000910
1975-1979     30-34            0.000898        0.001271        0.001090
1975-1979     35-39            0.001399        0.001568        0.001486
1975-1979     40-44            0.001527        0.002293        0.001926
1975-1979     45-49            0.001878        0.004143        0.003060
1975-1979     50-54            0.003252        0.006873        0.005131
1975-1979     55-59            0.005245        0.011723        0.008587
1975-1979     60-64            0.010598        0.020677        0.015540
1975-1979     65-69            0.014320        0.031756        0.022569
1975-1979     70-74            0.029062        0.044719        0.035905
1975-1979     75-79            0.041646        0.086760        0.058101
1975-1979     80-84            0.063556        0.097421        0.074098
1975-1979     85-89            0.112487        0.107912        0.111030
1975-1979     90-94            0.164186        0.170111        0.166164
1975-1979     95-99            0.261320        0.367225        0.290456
1975-1979    100-104           1.095490              .        1.095490
1975-1979    105-109                 .              .              .
1975-1979    110+                    .              .              .
1980-1984        0             0.008727        0.010150        0.009447
1980-1984      1-4             0.000728        0.000794        0.000761
1980-1984      5-9             0.000469        0.000522        0.000496
1980-1984     10-14            0.000267        0.000358        0.000314
1980-1984     15-19            0.000822        0.001087        0.000956
1980-1984     20-24            0.000810        0.001495        0.001150
1980-1984     25-29            0.000618        0.001324        0.000961
1980-1984     30-34            0.000775        0.000945        0.000859
1980-1984     35-39            0.000981        0.001152        0.001068
1980-1984     40-44            0.001391        0.001908        0.001653
1980-1984     45-49            0.002159        0.003137        0.002664
1980-1984     50-54            0.002309        0.006024        0.004238
1980-1984     55-59            0.004652        0.008827        0.006767
1980-1984     60-64            0.007688        0.016911        0.012171
1980-1984     65-69            0.015603        0.031421        0.022821
1980-1984     70-74            0.025373        0.046715        0.034439
1980-1984     75-79            0.043400        0.075792        0.055923
1980-1984     80-84            0.071065        0.096894        0.079597
1980-1984     85-89            0.129166        0.128174        0.128877
1980-1984     90-94            0.155534        0.170380        0.160568
1980-1984     95-99            0.267631        0.490299        0.313061
1980-1984    100-104           0.833681              .        0.833681
1980-1984    105-109                 .              .              .
1980-1984    110+                    .              .              .
1985-1989        0             0.006616        0.009128        0.007900
1985-1989      1-4             0.000449        0.000713        0.000583
1985-1989      5-9             0.000405        0.000340        0.000372
1985-1989     10-14            0.000260        0.000534        0.000400
1985-1989     15-19            0.000787        0.001071        0.000930
1985-1989     20-24            0.000543        0.001378        0.000961
1985-1989     25-29            0.000583        0.001238        0.000912
1985-1989     30-34            0.000550        0.000931        0.000737
1985-1989     35-39            0.000982        0.001368        0.001174
1985-1989     40-44            0.001308        0.001153        0.001230
1985-1989     45-49            0.001721        0.002184        0.001958
1985-1989     50-54            0.002978        0.004547        0.003790
1985-1989     55-59            0.004629        0.008325        0.006557
1985-1989     60-64            0.006912        0.015009        0.010914
1985-1989     65-69            0.012993        0.022880        0.017609
1985-1989     70-74            0.023796        0.039091        0.030350
1985-1989     75-79            0.043186        0.067212        0.052620
1985-1989     80-84            0.061661        0.091457        0.071521
1985-1989     85-89            0.118837        0.142990        0.126315
1985-1989     90-94            0.184544        0.173591        0.181451
1985-1989     95-99            0.299569        0.364040        0.317978
1985-1989    100-104           0.599743        1.167315        0.655961
1985-1989    105-109                 .              .              .
1985-1989    110+                    .              .              .
1990-1994        0             0.004519        0.008353        0.006472
1990-1994      1-4             0.000475        0.000477        0.000476
1990-1994      5-9             0.000362        0.000555        0.000461
1990-1994     10-14            0.000178        0.000359        0.000270
1990-1994     15-19            0.000608        0.000724        0.000667
1990-1994     20-24            0.000687        0.000914        0.000801
1990-1994     25-29            0.000731        0.000839        0.000785
1990-1994     30-34            0.000577        0.001091        0.000832
1990-1994     35-39            0.000904        0.001156        0.001028
1990-1994     40-44            0.000907        0.001479        0.001190
1990-1994     45-49            0.001548        0.002399        0.001980
1990-1994     50-54            0.002246        0.003682        0.002984
1990-1994     55-59            0.004286        0.006285        0.005312
1990-1994     60-64            0.007527        0.013081        0.010329
1990-1994     65-69            0.011908        0.022136        0.016766
1990-1994     70-74            0.018520        0.031429        0.024242
1990-1994     75-79            0.035998        0.056924        0.044422
1990-1994     80-84            0.055119        0.097056        0.069703
1990-1994     85-89            0.105799        0.132732        0.113571
1990-1994     90-94            0.181705        0.191417        0.184693
1990-1994     95-99            0.329088        0.329905        0.329349
1990-1994    100-104           1.360013        0.984855        1.253627
1990-1994    105-109                 .              .              .
1990-1994    110+                    .              .              .
1995-1999        0             0.006175        0.004150        0.005147
1995-1999      1-4             0.000513        0.000741        0.000629
1995-1999      5-9             0.000163        0.000277        0.000221
1995-1999     10-14            0.000107        0.000450        0.000282
1995-1999     15-19            0.000350        0.000810        0.000586
1995-1999     20-24            0.000516        0.000744        0.000632
1995-1999     25-29            0.000555        0.001385        0.000967
1995-1999     30-34            0.000628        0.001035        0.000828
1995-1999     35-39            0.000781        0.001435        0.001101
1995-1999     40-44            0.000838        0.001350        0.001085
1995-1999     45-49            0.001764        0.001801        0.001782
1995-1999     50-54            0.001888        0.002656        0.002276
1995-1999     55-59            0.003430        0.006193        0.004834
1995-1999     60-64            0.005735        0.008710        0.007229
1995-1999     65-69            0.011310        0.016013        0.013610
1995-1999     70-74            0.018214        0.030502        0.023814
1995-1999     75-79            0.026371        0.045650        0.034514
1995-1999     80-84            0.053938        0.082349        0.063763
1995-1999     85-89            0.103679        0.155969        0.119642
1995-1999     90-94            0.186672        0.188110        0.187036
1995-1999     95-99            0.303998        0.319136        0.308129
1995-1999    100-104           0.570710        0.862385        0.639877
1995-1999    105-109                 .              .              .
1995-1999    110+                    .              .              .
2000-2004        0             0.004026        0.005454        0.004758
2000-2004      1-4             0.000488        0.000476        0.000482
2000-2004      5-9             0.000264        0.000236        0.000250
2000-2004     10-14            0.000290        0.000208        0.000248
2000-2004     15-19            0.000364        0.000426        0.000396
2000-2004     20-24            0.000527        0.000727        0.000628
