NSW, Death rates (period 1x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.013238        0.017849        0.015595
1971-1979        1             0.001011        0.001217        0.001116
1971-1979        2             0.000616        0.000776        0.000698
1971-1979        3             0.000433        0.000649        0.000543
1971-1979        4             0.000376        0.000535        0.000457
1971-1979        5             0.000323        0.000458        0.000392
1971-1979        6             0.000324        0.000414        0.000370
1971-1979        7             0.000250        0.000361        0.000306
1971-1979        8             0.000238        0.000349        0.000295
1971-1979        9             0.000200        0.000270        0.000236
1971-1979       10             0.000197        0.000305        0.000253
1971-1979       11             0.000225        0.000364        0.000296
1971-1979       12             0.000190        0.000369        0.000282
1971-1979       13             0.000254        0.000385        0.000321
1971-1979       14             0.000331        0.000500        0.000418
1971-1979       15             0.000341        0.000630        0.000489
1971-1979       16             0.000414        0.000967        0.000697
1971-1979       17             0.000574        0.001502        0.001048
1971-1979       18             0.000619        0.001846        0.001245
1971-1979       19             0.000543        0.002027        0.001298
1971-1979       20             0.000512        0.002017        0.001277
1971-1979       21             0.000516        0.001862        0.001200
1971-1979       22             0.000543        0.001626        0.001093
1971-1979       23             0.000585        0.001538        0.001068
1971-1979       24             0.000562        0.001527        0.001052
1971-1979       25             0.000509        0.001348        0.000935
1971-1979       26             0.000537        0.001368        0.000960
1971-1979       27             0.000656        0.001284        0.000976
1971-1979       28             0.000550        0.001286        0.000926
1971-1979       29             0.000632        0.001302        0.000975
1971-1979       30             0.000694        0.001251        0.000980
1971-1979       31             0.000651        0.001207        0.000937
1971-1979       32             0.000741        0.001467        0.001115
1971-1979       33             0.000810        0.001352        0.001089
1971-1979       34             0.000945        0.001450        0.001205
1971-1979       35             0.001074        0.001652        0.001371
1971-1979       36             0.001128        0.001773        0.001459
1971-1979       37             0.001307        0.001875        0.001599
1971-1979       38             0.001381        0.002297        0.001852
1971-1979       39             0.001599        0.002339        0.001979
1971-1979       40             0.001618        0.002353        0.001996
1971-1979       41             0.001749        0.002963        0.002373
1971-1979       42             0.002191        0.003482        0.002856
1971-1979       43             0.002478        0.003956        0.003240
1971-1979       44             0.002688        0.004138        0.003437
1971-1979       45             0.002849        0.004507        0.003705
1971-1979       46             0.003165        0.005331        0.004282
1971-1979       47             0.003520        0.005942        0.004764
1971-1979       48             0.003628        0.006297        0.004995
1971-1979       49             0.004107        0.007444        0.005811
1971-1979       50             0.004484        0.007649        0.006095
1971-1979       51             0.004508        0.007925        0.006240
1971-1979       52             0.005327        0.009501        0.007433
1971-1979       53             0.005401        0.010631        0.008025
1971-1979       54             0.006189        0.011937        0.009057
1971-1979       55             0.006195        0.012342        0.009250
1971-1979       56             0.006799        0.014001        0.010360
1971-1979       57             0.007999        0.015178        0.011532
1971-1979       58             0.008485        0.016751        0.012533
1971-1979       59             0.009626        0.018842        0.014113
1971-1979       60             0.010028        0.020299        0.015005
1971-1979       61             0.010263        0.021194        0.015517
1971-1979       62             0.012297        0.025860        0.018783
1971-1979       63             0.013827        0.028229        0.020675
1971-1979       64             0.014662        0.030313        0.022055
1971-1979       65             0.015274        0.033007        0.023597
1971-1979       66             0.016755        0.033219        0.024425
1971-1979       67             0.018558        0.038545        0.027804
1971-1979       68             0.021055        0.041371        0.030375
1971-1979       69             0.023376        0.046076        0.033657
1971-1979       70             0.024741        0.048641        0.035428
1971-1979       71             0.026922        0.053438        0.038538
1971-1979       72             0.032237        0.061217        0.044693
1971-1979       73             0.036013        0.065219        0.048301
1971-1979       74             0.040240        0.071533        0.053092
1971-1979       75             0.045063        0.078282        0.058362
1971-1979       76             0.049829        0.084901        0.063440
1971-1979       77             0.050816        0.089239        0.065295
1971-1979       78             0.061162        0.102678        0.076289
1971-1979       79             0.067827        0.108773        0.082311
1971-1979       80             0.073228        0.116940        0.088147
1971-1979       81             0.077497        0.119541        0.091527
1971-1979       82             0.091023        0.141022        0.107358
1971-1979       83             0.103763        0.152851        0.119444
1971-1979       84             0.116965        0.172682        0.134389
1971-1979       85             0.127551        0.175347        0.142214
1971-1979       86             0.146047        0.204513        0.163619
1971-1979       87             0.148460        0.208746        0.166092
1971-1979       88             0.162098        0.215492        0.177351
1971-1979       89             0.190754        0.250860        0.207577
1971-1979       90             0.195541        0.265365        0.214447
1971-1979       91             0.206765        0.247629        0.217446
1971-1979       92             0.225941        0.302837        0.245437
1971-1979       93             0.250883        0.343069        0.273229
1971-1979       94             0.276258        0.365921        0.296927
1971-1979       95             0.305252        0.318558        0.308249
1971-1979       96             0.325180        0.374168        0.336187
1971-1979       97             0.396227        0.429161        0.403492
1971-1979       98             0.390416        0.444957        0.402181
1971-1979       99             0.423843        0.348024        0.407532
1971-1979      100             0.435716        0.513988        0.452828
1971-1979      101             0.473789        0.563697        0.492300
1971-1979      102             0.522250        0.687463        0.552950
1971-1979      103             0.589742        1.032776        0.654738
1971-1979      104             0.721220        1.833503        0.806880
1971-1979      105             1.027237        6.000000        1.084615
1971-1979      106             2.002994              .        2.002994
1971-1979      107                   .              .              .
1971-1979      108                   .              .              .
1971-1979      109                   .              .              .
1971-1979      110+                  .              .              .
1980-1989        0             0.008298        0.010814        0.009588
1980-1989        1             0.000650        0.000726        0.000689
1980-1989        2             0.000416        0.000547        0.000483
1980-1989        3             0.000274        0.000474        0.000376
1980-1989        4             0.000241        0.000345        0.000294
1980-1989        5             0.000228        0.000321        0.000276
1980-1989        6             0.000190        0.000298        0.000245
1980-1989        7             0.000186        0.000250        0.000219
1980-1989        8             0.000134        0.000298        0.000218
1980-1989        9             0.000122        0.000211        0.000168
1980-1989       10             0.000161        0.000278        0.000221
1980-1989       11             0.000178        0.000233        0.000206
1980-1989       12             0.000160        0.000257        0.000210
1980-1989       13             0.000189        0.000307        0.000249
1980-1989       14             0.000214        0.000363        0.000290
1980-1989       15             0.000279        0.000492        0.000388
