SA, Life tables (period 5x5), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01764  0.01737  0.11  100000    1737   98461  6937906  69.38
1971-1974      1-4      0.00093  0.00373  1.57   98263     367  392161  6839445  69.60
1971-1974      5-9      0.00034  0.00169  2.71   97896     165  489104  6447284  65.86
1971-1974     10-14     0.00030  0.00150  2.63   97731     146  488312  5958180  60.96
1971-1974     15-19     0.00164  0.00816  2.94   97585     796  486284  5469868  56.05
1971-1974     20-24     0.00144  0.00718  2.25   96789     695  482033  4983584  51.49
1971-1974     25-29     0.00113  0.00563  2.41   96094     541  479070  4501552  46.85
1971-1974     30-34     0.00121  0.00601  2.54   95553     574  476353  4022482  42.10
1971-1974     35-39     0.00200  0.00993  2.59   94979     943  472620  3546130  37.34
1971-1974     40-44     0.00294  0.01459  2.60   94036    1372  466889  3073510  32.68
1971-1974     45-49     0.00537  0.02652  2.79   92663    2457  457889  2606620  28.13
1971-1974     50-54     0.00873  0.04280  2.66   90206    3860  442008  2148731  23.82
1971-1974     55-59     0.01520  0.07342  2.68   86346    6340  417027  1706723  19.77
1971-1974     60-64     0.02345  0.11111  2.65   80006    8889  379097  1289696  16.12
1971-1974     65-69     0.03866  0.17705  2.63   71117   12591  325701   910599  12.80
1971-1974     70-74     0.06052  0.26403  2.59   58526   15452  255341   584898   9.99
1971-1974     75-79     0.09214  0.37338  2.46   43073   16083  174557   329557   7.65
1971-1974     80-84     0.13697  0.50520  2.40   26991   13636   99548   155000   5.74
1971-1974     85-89     0.21574  0.67173  2.19   13355    8971   41583    55452   4.15
1971-1974     90-94     0.29541  0.79211  2.07    4384    3473   11755    13870   3.16
1971-1974     95-99     0.42023  0.89383  1.79     911     815    1938     2114   2.32
1971-1974    100-104    0.54459  0.94685  1.56      97      92     168      176   1.82
1971-1974    105-109    0.66454  0.97278  1.36       5       5       8        8   1.50
1971-1974    110+       0.75449  1.00000  1.33       0       0       0        0   1.33
1975-1979        0      0.01290  0.01276  0.12  100000    1276   98882  7086140  70.86
1975-1979      1-4      0.00077  0.00308  1.56   98724     304  394156  6987258  70.78
