SA, Exposure to risk (period 1x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             86614.89        91345.62       177960.51
1971-1979        1             88828.97        93389.10       182218.07
1971-1979        2             91151.10        95778.81       186929.90
1971-1979        3             93382.14        98027.84       191409.98
1971-1979        4             95168.61       100000.20       195168.81
1971-1979        5             96514.49       101455.35       197969.84
1971-1979        6             97896.57       102828.29       200724.85
1971-1979        7             98923.93       103942.82       202866.75
1971-1979        8             99799.40       104988.19       204787.59
1971-1979        9            100483.46       105716.20       206199.66
1971-1979       10            101215.52       106480.40       207695.91
1971-1979       11            102275.51       107771.52       210047.03
1971-1979       12            103267.55       108826.88       212094.43
1971-1979       13            104515.62       109969.67       214485.28
1971-1979       14            105292.91       110389.52       215682.42
1971-1979       15            105730.02       109971.11       215701.12
1971-1979       16            105347.57       108553.75       213901.33
1971-1979       17            104192.95       106485.33       210678.28
1971-1979       18            102616.51       104221.44       206837.95
1971-1979       19            100892.25       102053.00       202945.25
1971-1979       20             98551.05        99784.30       198335.34
1971-1979       21             96342.13        97597.22       193939.34
1971-1979       22             94638.75        96114.67       190753.42
1971-1979       23             93635.12        95223.81       188858.93
1971-1979       24             92702.06        94267.86       186969.92
1971-1979       25             93215.55        94345.63       187561.18
1971-1979       26             91823.42        93085.19       184908.61
1971-1979       27             89962.01        91496.32       181458.33
1971-1979       28             87816.45        89602.35       177418.80
1971-1979       29             85172.31        87300.98       172473.28
1971-1979       30             82281.33        84533.66       166814.98
1971-1979       31             79471.27        81398.46       160869.73
1971-1979       32             76363.27        78089.71       154452.98
1971-1979       33             72777.43        74268.11       147045.55
1971-1979       34             69538.15        70922.83       140460.98
1971-1979       35             67367.27        68793.72       136160.99
1971-1979       36             65565.91        67061.18       132627.09
1971-1979       37             63842.06        65506.71       129348.77
1971-1979       38             62810.02        64342.59       127152.61
1971-1979       39             62145.43        63635.58       125781.01
1971-1979       40             61359.86        63046.35       124406.21
1971-1979       41             61241.21        62917.85       124159.05
1971-1979       42             60742.65        63225.87       123968.52
1971-1979       43             60781.97        63804.00       124585.97
1971-1979       44             61151.22        64660.91       125812.12
1971-1979       45             61917.43        65554.13       127471.56
1971-1979       46             62990.92        66824.56       129815.48
1971-1979       47             63974.41        67469.11       131443.52
1971-1979       48             64771.96        68031.40       132803.37
1971-1979       49             65233.86        68310.85       133544.71
1971-1979       50             65170.46        67825.23       132995.69
1971-1979       51             65149.35        67102.53       132251.88
1971-1979       52             64312.59        65665.18       129977.77
1971-1979       53             62886.25        63639.75       126525.99
1971-1979       54             61324.63        61512.39       122837.01
1971-1979       55             59693.96        59678.20       119372.16
1971-1979       56             58158.08        57789.67       115947.76
1971-1979       57             56850.05        55968.17       112818.22
