SA,  Exposures (Lexis triangle)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1971    0      1971     5390.35     5699.32    11089.67
 1971    0      1970     5416.79     5667.74    11084.53
 1971    1      1970     5417.96     5761.04    11179.00
 1971    1      1969     5464.36     5637.38    11101.74
 1971    2      1969     5451.59     5645.48    11097.07
 1971    2      1968     5405.61     5634.19    11039.80
 1971    3      1968     5511.95     5682.90    11194.84
 1971    3      1967     5261.36     5533.39    10794.75
 1971    4      1967     5342.68     5623.94    10966.62
 1971    4      1966     5288.02     5527.36    10815.38
 1971    5      1966     5213.59     5454.76    10668.35
 1971    5      1965     5376.69     5656.31    11033.00
 1971    6      1965     5375.94     5628.00    11003.94
 1971    6      1964     5498.48     5863.11    11361.58
 1971    7      1964     5384.34     5728.93    11113.28
 1971    7      1963     5715.40     6054.16    11769.56
 1971    8      1963     5643.85     6022.85    11666.70
 1971    8      1962     5881.36     6104.58    11985.94
 1971    9      1962     5822.93     6114.19    11937.11
 1971    9      1961     6027.90     6216.75    12244.65
 1971   10      1961     5939.50     6115.59    12055.09
 1971   10      1960     6043.48     6230.24    12273.72
 1971   11      1960     6123.50     6350.52    12474.02
 1971   11      1959     5983.95     6144.85    12128.79
 1971   12      1959     6007.25     6189.93    12197.18
 1971   12      1958     5876.75     6093.37    11970.12
 1971   13      1958     5979.59     6159.67    12139.26
 1971   13      1957     5763.45     5988.88    11752.34
 1971   14      1957     5765.59     6014.59    11780.17
 1971   14      1956     5691.29     5861.22    11552.51
 1971   15      1956     5729.51     5925.93    11655.44
 1971   15      1955     5542.90     5719.54    11262.43
 1971   16      1955     5553.51     5746.26    11299.77
 1971   16      1954     5421.38     5551.17    10972.56
 1971   17      1954     5395.27     5595.67    10990.94
 1971   17      1953     5404.02     5407.26    10811.28
 1971   18      1953     5351.09     5374.10    10725.19
 1971   18      1952     5306.15     5272.77    10578.92
 1971   19      1952     5385.10     5313.02    10698.12
 1971   19      1951     5152.97     5105.02    10257.99
 1971   20      1951     5132.53     5140.90    10273.43
 1971   20      1950     5095.69     5084.45    10180.14
 1971   21      1950     5075.20     4998.56    10073.76
 1971   21      1949     5024.15     5039.36    10063.51
 1971   22      1949     5004.84     5142.72    10147.57
 1971   22      1948     4965.70     4975.51     9941.21
 1971   23      1948     4923.09     4969.37     9892.46
 1971   23      1947     5184.36     5281.43    10465.78
 1971   24      1947     4997.43     5021.47    10018.90
 1971   24      1946     4884.88     5032.99     9917.87
 1971   25      1946     5493.77     5600.23    11094.00
 1971   25      1945     4339.63     4435.98     8775.61
 1971   26      1945     4343.29     4531.84     8875.13
 1971   26      1944     4200.35     4274.47     8474.82
 1971   27      1944     4354.43     4389.12     8743.55
 1971   27      1943     3941.74     4048.64     7990.37
 1971   28      1943     4107.86     4199.42     8307.29
 1971   28      1942     3760.28     3929.21     7689.49
 1971   29      1942     3846.52     3975.80     7822.32
 1971   29      1941     3636.93     3841.02     7477.95
 1971   30      1941     3712.79     3947.17     7659.97
 1971   30      1940     3550.35     3675.65     7226.00
 1971   31      1940     3586.20     3759.65     7345.84
 1971   31      1939     3570.66     3606.76     7177.42
 1971   32      1939     3564.35     3610.70     7175.05
 1971   32      1938     3513.52     3535.84     7049.36
 1971   33      1938     3590.20     3608.12     7198.32
 1971   33      1937     3433.77     3457.24     6891.02
 1971   34      1937     3434.10     3475.05     6909.15
 1971   34      1936     3441.43     3489.32     6930.76
 1971   35      1936     3466.44     3484.46     6950.90
 1971   35      1935     3333.54     3448.48     6782.02
 1971   36      1935     3426.76     3532.52     6959.28
 1971   36      1934     3248.31     3345.78     6594.08
 1971   37      1934     3215.09     3324.17     6539.26
 1971   37      1933     3271.08     3380.30     6651.38
 1971   38      1933     3263.19     3334.99     6598.17
 1971   38      1932     3290.96     3420.00     6710.97
 1971   39      1932     3257.08     3451.09     6708.17
 1971   39      1931     3491.51     3559.77     7051.28
 1971   40      1931     3268.58     3400.55     6669.13
 1971   40      1930     3531.87     3760.95     7292.82
 1971   41      1930     3681.92     3689.73     7371.65
 1971   41      1929     3507.45     3857.25     7364.70
 1971   42      1929     3377.49     3813.57     7191.07
 1971   42      1928     3654.87     3951.04     7605.91
 1971   43      1928     3613.76     3895.36     7509.12
 1971   43      1927     3652.93     3920.98     7573.91
 1971   44      1927     3647.78     3975.61     7623.40
 1971   44      1926     3733.22     3957.62     7690.84
 1971   45      1926     3650.27     3864.28     7514.56
 1971   45      1925     3829.47     3975.32     7804.79
 1971   46      1925     3807.70     4042.01     7849.71
 1971   46      1924     3742.86     3846.38     7589.24
 1971   47      1924     3792.44     3842.36     7634.80
 1971   47      1923     3677.10     3759.25     7436.35
 1971   48      1923     3637.86     3797.75     7435.61
 1971   48      1922     3704.46     3713.51     7417.98
 1971   49      1922     3692.80     3692.88     7385.68
 1971   49      1921     3728.32     3775.11     7503.42
 1971   50      1921     3680.97     3686.95     7367.91
 1971   50      1920     3503.79     3606.65     7110.44
 1971   51      1920     3725.73     3795.15     7520.88
 1971   51      1919     3133.74     3194.09     6327.83
 1971   52      1919     3261.75     3366.70     6628.45
 1971   52      1918     3032.54     2966.23     5998.77
 1971   53      1918     2991.54     2999.72     5991.26
 1971   53      1917     3015.37     2966.84     5982.21
 1971   54      1917     3026.46     2900.25     5926.71
 1971   54      1916     2934.90     2981.86     5916.76
 1971   55      1916     2960.12     2990.60     5950.72
 1971   55      1915     2962.57     3000.08     5962.65
 1971   56      1915     2894.30     2905.37     5799.67
 1971   56      1914     3025.90     3073.40     6099.30
 1971   57      1914     3012.99     2999.75     6012.74
 1971   57      1913     2974.03     3007.91     5981.94
 1971   58      1913     3005.85     3057.02     6062.88
 1971   58      1912     2861.46     2837.96     5699.42
 1971   59      1912     2917.13     2832.70     5749.83
 1971   59      1911     2814.92     2637.77     5452.68
 1971   60      1911     2777.20     2711.40     5488.60
 1971   60      1910     2660.83     2460.31     5121.14
 1971   61      1910     2821.79     2475.57     5297.36
 1971   61      1909     2506.79     2391.38     4898.17
 1971   62      1909     2479.88     2339.82     4819.69
 1971   62      1908     2467.17     2274.30     4741.46
 1971   63      1908     2500.71     2311.32     4812.03
 1971   63      1907     2305.47     2086.57     4392.04
 1971   64      1907     2378.97     2107.74     4486.71
 1971   64      1906     2201.66     2024.24     4225.90
 1971   65      1906     2174.09     1956.62     4130.71
 1971   65      1905     2107.55     1910.54     4018.09
 1971   66      1905     2157.43     1976.04     4133.46
 1971   66      1904     1963.31     1767.62     3730.93
 1971   67      1904     2008.18     1718.12     3726.30
 1971   67      1903     1839.62     1672.69     3512.31
 1971   68      1903     1852.51     1681.29     3533.80
 1971   68      1902     1761.19     1527.15     3288.34
 1971   69      1902     1739.77     1513.37     3253.13
 1971   69      1901     1777.90     1431.83     3209.72
 1971   70      1901     1702.47     1399.58     3102.05
 1971   70      1900     1775.89     1347.33     3123.23
 1971   71      1900     1762.47     1316.50     3078.97
 1971   71      1899     1646.91     1227.39     2874.30
 1971   72      1899     1689.31     1208.99     2898.30
 1971   72      1898     1513.27     1075.01     2588.28
 1971   73      1898     1494.72     1070.16     2564.89
 1971   73      1897     1464.57      956.48     2421.05
 1971   74      1897     1416.38      927.66     2344.04
 1971   74      1896     1461.10      886.92     2348.02
 1971   75      1896     1387.25      829.77     2217.01
 1971   75      1895     1406.34      845.03     2251.37
 1971   76      1895     1394.81      774.02     2168.84
 1971   76      1894     1294.71      789.45     2084.17
 1971   77      1894     1268.16      752.70     2020.85
 1971   77      1893     1199.27      733.33     1932.59
 1971   78      1893     1172.73      679.52     1852.25
 1971   78      1892     1138.55      685.14     1823.69
 1971   79      1892     1096.64      649.19     1745.83
 1971   79      1891     1082.59      618.85     1701.44
 1971   80      1891     1030.86      582.49     1613.35
 1971   80      1890      973.35      563.82     1537.17
 1971   81      1890      928.18      519.99     1448.17
 1971   81      1889      871.95      498.61     1370.56
 1971   82      1889      821.99      456.10     1278.10
 1971   82      1888      763.54      443.01     1206.54
 1971   83      1888      712.34      400.67     1113.01
 1971   83      1887      651.69      371.94     1023.63
 1971   84      1887      605.17      334.41      939.59
 1971   84      1886      582.40      303.56      885.96
 1971   85      1886      534.54      269.87      804.40
 1971   85      1885      502.50      245.15      747.65
 1971   86      1885      457.33      213.18      670.51
 1971   86      1884      412.57      203.48      616.05
 1971   87      1884      373.07      176.32      549.39
 1971   87      1883      335.58      150.97      486.55
 1971   88      1883      301.25      128.83      430.08
 1971   88      1882      263.91      108.97      372.88
 1971   89      1882      235.24       91.14      326.38
 1971   89      1881      214.44       88.56      303.00
 1971   90      1881      185.89       73.13      259.02
 1971   90      1880      166.63       69.97      236.60
 1971   91      1880      142.20       59.02      201.22
 1971   91      1879      117.77       46.14      163.91
 1971   92      1879      100.48       39.18      139.65
 1971   92      1878       87.14       30.61      117.75
 1971   93      1878       73.15       25.10       98.26
 1971   93      1877       68.82       24.08       92.90
 1971   94      1877       56.67       18.93       75.60
 1971   94      1876       47.23       14.99       62.22
 1971   95      1876       37.67       11.31       48.98
 1971   95      1875       29.02        8.63       37.65
 1971   96      1875       23.09        6.14       29.22
 1971   96      1874       19.25        5.45       24.70
 1971   97      1874       15.42        4.16       19.58
 1971   97      1873       14.47        3.05       17.52
 1971   98      1873       10.46        2.54       13.00
 1971   98      1872       10.06        2.64       12.70
 1971   99      1872        7.11        1.45        8.55
 1971   99      1871        5.84        1.84        7.68
 1971   100     1871        3.92        0.75        4.66
 1971   100     1870        3.82        0.89        4.72
 1971   101     1870        2.12        0.46        2.58
 1971   101     1869        2.19        0.33        2.53
 1971   102     1869        1.04        0.06        1.10
 1971   102     1868        1.09        0.00        1.09
 1971   103     1868        0.33        0.00        0.33
 1971   103     1867        0.61        0.00        0.61
 1971   104     1867        0.11        0.00        0.11
 1971   104     1866        0.38        0.00        0.38
 1971   105     1866        0.07        0.00        0.07
 1971   105     1865        0.11        0.00        0.11
 1971   106     1865        0.00        0.00        0.00
 1971   106     1864        0.00        0.00        0.00
 1971   107     1864        0.00        0.00        0.00
 1971   107     1863        0.00        0.00        0.00
 1971   108     1863        0.00        0.00        0.00
 1971   108     1862        0.00        0.00        0.00
 1971   109     1862        0.00        0.00        0.00
 1971   109     1861        0.00        0.00        0.00
 1971   110+       .        0.00        0.00        0.00
 1972    0      1972     5161.88     5402.85    10564.73
 1972    0      1971     5363.38     5665.35    11028.73
 1972    1      1971     5373.91     5692.54    11066.45
 1972    1      1970     5415.74     5758.21    11173.95
 1972    2      1970     5470.45     5832.98    11303.43
 1972    2      1969     5451.12     5643.64    11094.76
 1972    3      1969     5473.45     5679.30    11152.75
 1972    3      1968     5511.12     5681.30    11192.42
 1972    4      1968     5538.72     5705.63    11244.34
 1972    4      1967     5341.88     5622.96    10964.84
 1972    5      1967     5360.68     5642.19    11002.87
 1972    5      1966     5213.34     5453.86    10667.20
 1972    6      1966     5224.76     5448.59    10673.34
 1972    6      1965     5375.26     5627.92    11003.18
 1972    7      1965     5375.61     5662.11    11037.72
 1972    7      1964     5383.44     5727.94    11111.39
 1972    8      1964     5393.09     5742.26    11135.35
 1972    8      1963     5643.42     6022.26    11665.68
 1972    9      1963     5664.17     6038.09    11702.26
 1972    9      1962     5822.34     6113.42    11935.76
 1972   10      1962     5835.58     6134.67    11970.25
 1972   10      1961     5939.42     6115.34    12054.75
 1972   11      1961     5924.85     6121.20    12046.04
 1972   11      1960     6123.18     6349.36    12472.54
 1972   12      1960     6139.42     6379.85    12519.27
 1972   12      1959     6006.59     6189.18    12195.77
 1972   13      1959     6024.59     6232.76    12257.35
 1972   13      1958     5978.93     6159.26    12138.18
 1972   14      1958     5971.59     6143.86    12115.44
 1972   14      1957     5765.42     6013.69    11779.11
 1972   15      1957     5757.51     5966.43    11723.94
 1972   15      1956     5728.51     5924.10    11652.61
 1972   16      1956     5694.10     5880.51    11574.60
 1972   16      1955     5552.43     5744.51    11296.94
 1972   17      1955     5487.09     5697.43    11184.52
 1972   17      1954     5393.92     5592.60    10986.52
 1972   18      1954     5334.51     5541.59    10876.10
 1972   18      1953     5350.01     5370.92    10720.93
 1972   19      1953     5331.51     5329.94    10661.45
 1972   19      1952     5384.01     5309.11    10693.11
 1972   20      1952     5337.60     5275.49    10613.09
 1972   20      1951     5130.94     5138.16    10269.09
 1972   21      1951     5079.17     5143.90    10223.07
 1972   21      1950     5074.34     4995.23    10069.57
 1972   22      1950     5050.76     4989.61    10040.37
 1972   22      1949     5004.26     5140.11    10144.37
 1972   23      1949     4980.84     5182.29    10163.13
 1972   23      1948     4922.18     4967.79     9889.96
 1972   24      1948     4927.34     5013.28     9940.62
 1972   24      1947     4996.67     5019.78    10016.45
 1972   25      1947     5079.17     5047.24    10126.42
 1972   25      1946     5493.34     5598.41    11091.75
 1972   26      1946     5528.77     5655.10    11183.87
 1972   26      1945     4342.27     4529.60     8871.87
 1972   27      1945     4352.02     4578.72     8930.74
 1972   27      1944     4353.52     4387.88     8741.41
 1972   28      1944     4379.60     4411.12     8790.72
 1972   28      1943     4106.94     4197.95     8304.89
 1972   29      1943     4159.72     4227.55     8387.28
 1972   29      1942     3845.39     3974.55     7819.94
 1972   30      1942     3870.59     4025.61     7896.20
 1972   30      1941     3711.92     3945.45     7657.37
 1972   31      1941     3730.85     3955.76     7686.62
 1972   31      1940     3585.19     3757.43     7342.62
 1972   32      1940     3596.46     3766.20     7362.66
 1972   32      1939     3563.13     3609.37     7172.50
 1972   33      1939     3604.02     3615.12     7219.13
 1972   33      1938     3589.02     3606.95     7195.97
 1972   34      1938     3562.94     3609.80     7172.73
 1972   34      1937     3433.10     3473.30     6906.40
 1972   35      1937     3460.51     3492.36     6952.87
 1972   35      1936     3465.51     3482.70     6948.21
 1972   36      1936     3473.35     3521.46     6994.81
 1972   36      1935     3425.69     3530.62     6956.31
 1972   37      1935     3430.51     3546.53     6977.04
 1972   37      1934     3214.01     3321.53     6535.54
 1972   38      1934     3187.67     3281.84     6469.51
 1972   38      1933     3261.84     3332.67     6594.51
 1972   39      1933     3273.94     3341.79     6615.73
 1972   39      1932     3255.61     3448.79     6704.40
 1972   40      1932     3223.08     3455.16     6678.24
 1972   40      1931     3267.42     3397.33     6664.74
 1972   41      1931     3245.16     3393.04     6638.20
 1972   41      1930     3679.83     3685.88     7365.70
 1972   42      1930     3672.01     3658.30     7330.31
 1972   42      1929     3375.01     3809.14     7184.14
 1972   43      1929     3383.25     3824.66     7207.90
 1972   43      1928     3611.75     3892.32     7504.07
 1972   44      1928     3577.77     3870.79     7448.56
 1972   44      1927     3645.27     3971.29     7616.56
 1972   45      1927     3632.61     3961.52     7594.13
 1972   45      1926     3647.95     3858.52     7506.47
 1972   46      1926     3652.62     3878.13     7530.76
 1972   46      1925     3803.96     4034.97     7838.92
 1972   47      1925     3786.11     4025.59     7811.70
 1972   47      1924     3789.94     3835.42     7625.36
 1972   48      1924     3748.96     3799.43     7548.40
 1972   48      1923     3633.63     3792.60     7426.23
 1972   49      1923     3619.04     3786.25     7405.28
 1972   49      1922     3688.04     3684.25     7372.28
 1972   50      1922     3677.46     3668.30     7345.76
 1972   50      1921     3676.62     3678.30     7354.92
 1972   51      1921     3662.38     3665.44     7327.82
 1972   51      1920     3720.72     3786.61     7507.32
 1972   52      1920     3697.17     3753.96     7451.13
 1972   52      1919     3256.17     3356.96     6613.13
 1972   53      1919     3276.50     3364.54     6641.05
 1972   53      1918     2987.50     2990.54     5978.05
 1972   54      1918     2971.38     2984.90     5956.28
 1972   54      1917     3021.22     2889.23     5910.45
 1972   55      1917     3009.12     2876.64     5885.76
 1972   55      1916     2954.46     2977.64     5932.09
 1972   56      1916     2939.71     2956.43     5896.14
 1972   56      1915     2888.38     2894.26     5782.64
 1972   57      1915     2906.21     2861.17     5767.38
 1972   57      1914     3006.71     2983.50     5990.21
 1972   58      1914     2993.14     2939.24     5932.38
 1972   58      1913     2997.14     3039.57     6036.71
 1972   59      1913     3001.56     3025.67     6027.23
 1972   59      1912     2908.23     2815.34     5723.56
 1972   60      1912     2904.16     2760.81     5664.98
 1972   60      1911     2769.66     2693.48     5463.14
 1972   61      1911     2777.96     2680.47     5458.44
 1972   61      1910     2813.63     2459.14     5272.77
 1972   62      1910     2796.30     2436.16     5232.46
 1972   62      1909     2470.80     2321.49     4792.29
 1972   63      1909     2487.55     2275.66     4763.20
 1972   63      1908     2491.55     2292.49     4784.04
 1972   64      1908     2459.64     2235.41     4695.05
 1972   64      1907     2368.47     2088.24     4456.71
 1972   65      1907     2369.68     2062.53     4432.21
 1972   65      1906     2164.34     1934.03     4098.38
 1972   66      1906     2135.84     1908.95     4044.79
 1972   66      1905     2147.68     1955.11     4102.79
 1972   67      1905     2134.51     1907.53     4042.05
 1972   67      1904     1995.01     1694.53     3689.55
 1972   68      1904     1992.77     1655.78     3648.55
 1972   68      1903     1839.27     1658.28     3497.55
 1972   69      1903     1820.85     1608.95     3429.80
 1972   69      1902     1725.18     1491.61     3216.80
 1972   70      1902     1698.73     1450.16     3148.88
 1972   70      1901     1686.73     1376.82     3063.55
 1972   71      1901     1667.39     1341.40     3008.79
 1972   71      1900     1743.55     1290.57     3034.12
 1972   72      1900     1717.56     1246.40     2963.96
 1972   72      1899     1673.39     1183.57     2856.96
 1972   73      1899     1656.98     1129.66     2786.64
 1972   73      1898     1479.48     1049.32     2528.80
 1972   74      1898     1435.98      994.41     2430.38
 1972   74      1897     1397.48      906.07     2303.55
 1972   75      1897     1361.50      863.52     2225.02
 1972   75      1896     1367.83      806.85     2174.68
 1972   76      1896     1331.73      756.68     2088.42
 1972   76      1895     1372.07      752.18     2124.25
 1972   77      1895     1327.23      724.84     2052.07
 1972   77      1894     1246.06      730.01     1976.07
 1972   78      1894     1197.31      678.17     1875.48
 1972   78      1893     1148.98      655.17     1804.15
 1972   79      1893     1115.82      620.68     1736.50
 1972   79      1892     1072.99      627.68     1700.67
 1972   80      1892     1047.32      568.27     1615.59
 1972   80      1891     1007.27      559.48     1566.74
 1972   81      1891      956.44      514.79     1471.24
 1972   81      1890      903.75      498.73     1402.49
 1972   82      1890      852.58      459.23     1311.81
 1972   82      1889      795.84      436.35     1232.19
 1972   83      1889      745.67      397.85     1143.52
 1972   83      1888      687.84      380.00     1067.84
 1972   84      1888      639.66      344.33      983.98
 1972   84      1887      582.34      318.49      900.83
 1972   85      1887      540.81      285.97      826.78
 1972   85      1886      512.88      252.85      765.73
 1972   86      1886      471.88      223.71      695.59
 1972   86      1885      435.91      199.59      635.50
 1972   87      1885      396.58      174.09      570.67
 1972   87      1884      355.07      163.57      518.63
 1972   88      1884      321.24      139.74      460.97
 1972   88      1883      285.17      118.59      403.75
 1972   89      1883      252.50       98.94      351.43
 1972   89      1882      220.66       82.64      303.30
 1972   90      1882      192.64       67.89      260.52
 1972   90      1881      172.38       66.63      239.01
 1972   91      1881      149.75       54.65      204.39
 1972   91      1880      132.12       54.03      186.15
 1972   92      1880      111.78       43.89      155.67
 1972   92      1879       91.75       35.61      127.36
 1972   93      1879       75.13       29.68      104.82
 1972   93      1878       66.57       22.92       89.49
 1972   94      1878       55.26       18.90       74.16
 1972   94      1877       51.50       16.51       68.01
 1972   95      1877       42.77       12.32       55.10
 1972   95      1876       33.75        9.82       43.57
 1972   96      1876       27.64        8.05       35.69
 1972   96      1875       20.93        5.45       26.37
 1972   97      1875       17.13        4.42       21.54
 1972   97      1874       13.75        3.68       17.42
 1972   98      1874       10.58        2.18       12.76
 1972   98      1873        8.53        2.05       10.58
 1972   99      1873        6.24        1.07        7.30
 1972   99      1872        6.35        0.85        7.21
 1972   100     1872        4.92        0.18        5.09
 1972   100     1871        3.10        0.49        3.59
 1972   101     1871        2.19        0.09        2.28
 1972   101     1870        1.58        0.30        1.87
 1972   102     1870        1.03        0.05        1.08
 1972   102     1869        0.69        0.00        0.69
 1972   103     1869        0.36        0.00        0.36
 1972   103     1868        0.10        0.00        0.10
 1972   104     1868        0.00        0.00        0.00
 1972   104     1867        0.00        0.00        0.00
 1972   105     1867        0.00        0.00        0.00
 1972   105     1866        0.00        0.00        0.00
 1972   106     1866        0.00        0.00        0.00
 1972   106     1865        0.00        0.00        0.00
 1972   107     1865        0.00        0.00        0.00
 1972   107     1864        0.00        0.00        0.00
 1972   108     1864        0.00        0.00        0.00
 1972   108     1863        0.00        0.00        0.00
 1972   109     1863        0.00        0.00        0.00
 1972   109     1862        0.00        0.00        0.00
 1972   110+       .        0.00        0.00        0.00
 1973    0      1973     4798.55     5154.10     9952.65
 1973    0      1972     5138.22     5369.93    10508.15
 1973    1      1972     5203.55     5402.00    10605.55
 1973    1      1971     5372.05     5689.67    11061.72
 1973    2      1971     5401.63     5732.98    11134.60
 1973    2      1970     5469.46     5831.14    11300.60
 1973    3      1970     5532.77     5911.98    11444.75
 1973    3      1969     5472.77     5677.65    11150.42
 1973    4      1969     5497.04     5710.12    11207.17
 1973    4      1968     5537.54     5704.46    11242.00
 1973    5      1968     5564.18     5729.44    11293.62
 1973    5      1967     5360.34     5641.11    11001.45
 1973    6      1967     5378.76     5664.59    11043.35
 1973    6      1966     5224.26     5448.42    10672.68
 1973    7      1966     5232.09     5455.67    10687.76
 1973    7      1965     5374.92     5661.34    11036.26
 1973    8      1965     5382.76     5714.17    11096.94
 1973    8      1964     5392.76     5741.84    11134.60
 1973    9      1964     5409.26     5767.93    11177.19
 1973    9      1963     5663.76     6037.60    11701.36
 1973   10      1963     5687.84     6069.26    11757.10
 1973   10      1962     5835.17     6134.26    11969.43
 1973   11      1962     5848.00     6174.42    12022.42
 1973   11      1961     5924.50     6120.09    12044.59
 1973   12      1961     5894.59     6130.50    12025.09
 1973   12      1960     6138.92     6379.50    12518.42
 1973   13      1960     6152.26     6405.35    12557.60
 1973   13      1959     6023.76     6232.18    12255.94
 1973   14      1959     6041.34     6260.76    12302.10
 1973   14      1958     5971.18     6142.76    12113.93
 1973   15      1958     5958.02     6111.01    12069.03
 1973   15      1957     5756.52     5964.51    11721.03
 1973   16      1957     5746.43     5896.53    11642.95
 1973   16      1956     5693.10     5878.53    11571.62
 1973   17      1956     5661.43     5826.10    11487.53
 1973   17      1955     5486.60     5694.44    11181.03
 1973   18      1955     5420.27     5647.36    11067.62
 1973   18      1954     5333.27     5538.19    10871.46
 1973   19      1954     5277.67     5498.68    10776.35
 1973   19      1953     5330.84     5326.34    10657.18
 1973   20      1953     5307.02     5294.35    10601.37
 1973   20      1952     5336.52     5272.35    10608.87
 1973   21      1952     5284.61     5262.32    10546.93
 1973   21      1951     5078.44     5141.32    10219.76
 1973   22      1951     5030.09     5168.38    10198.46
 1973   22      1950     5050.42     4987.21    10037.63
 1973   23      1950     5031.59     4979.48    10011.07
 1973   23      1949     4980.42     5180.65    10161.07
 1973   24      1949     4967.76     5204.55    10172.31
 1973   24      1948     4926.76     5011.55     9938.31
 1973   25      1948     4974.43     5047.55    10021.97
 1973   25      1947     5078.59     5045.05    10123.64
 1973   26      1947     5108.02     5055.16    10163.18
 1973   26      1946     5528.02     5652.99    11181.01
 1973   27      1946     5549.27     5706.55    11255.82
 1973   27      1945     4351.27     4577.55     8928.82
 1973   28      1945     4353.53     4621.31     8974.83
 1973   28      1944     4378.53     4409.81     8788.33
 1973   29      1944     4397.26     4438.41     8835.67
 1973   29      1943     4158.76     4225.74     8384.50
 1973   30      1943     4198.59     4240.96     8439.55
 1973   30      1942     3870.43     4024.63     7895.05
 1973   31      1942     3894.76     4063.11     7957.88
 1973   31      1941     3730.26     3953.95     7684.21
 1973   32      1941     3747.77     3966.31     7714.08
 1973   32      1940     3595.27     3764.81     7360.08
 1973   33      1940     3612.53     3786.29     7398.82
 1973   33      1939     3603.03     3613.79     7216.82
 1973   34      1939     3636.85     3641.64     7278.49
 1973   34      1938     3562.18     3607.98     7170.16
 1973   35      1938     3528.26     3622.55     7150.81
 1973   35      1937     3459.76     3490.55     6950.31
 1973   36      1937     3498.09     3513.69     7011.78
 1973   36      1936     3472.92     3519.86     6992.78
 1973   37      1936     3488.12     3568.87     7057.00
 1973   37      1935     3429.46     3544.21     6973.66
 1973   38      1935     3447.35     3561.78     7009.13
 1973   38      1934     3186.18     3279.78     6465.96
 1973   39      1934     3173.51     3236.76     6410.26
 1973   39      1933     3272.51     3339.76     6612.26
 1973   40      1933     3289.80     3347.80     6637.60
 1973   40      1932     3221.30     3452.30     6673.60
 1973   41      1932     3191.17     3458.58     6649.75
 1973   41      1931     3243.84     3389.91     6633.75
 1973   42      1931     3227.50     3392.06     6619.55
 1973   42      1930     3670.00     3654.39     7324.39
 1973   43      1930     3664.93     3627.40     7292.34
 1973   43      1929     3380.60     3821.57     7202.17
 1973   44      1929     3397.09     3845.24     7242.33
 1973   44      1928     3575.42     3865.74     7441.16
 1973   45      1928     3548.03     3849.69     7397.71
 1973   45      1927     3630.53     3956.35     7586.88
 1973   46      1927     3621.47     3945.44     7566.90
 1973   46      1926     3649.13     3872.10     7521.24
 1973   47      1926     3652.71     3888.56     7541.27
 1973   47      1925     3783.38     4018.56     7801.93
 1973   48      1925     3777.59     4010.60     7788.19
 1973   48      1924     3743.59     3792.44     7536.02
 1973   49      1924     3716.07     3751.79     7467.85
 1973   49      1923     3614.07     3777.29     7391.35
 1973   50      1923     3615.54     3772.09     7387.63
 1973   50      1922     3673.54     3657.93     7331.46
 1973   51      1922     3669.06     3640.39     7309.45
 1973   51      1921     3658.06     3657.22     7315.28
 1973   52      1921     3649.26     3638.89     7288.14
 1973   52      1920     3690.92     3741.22     7432.14
 1973   53      1920     3662.55     3705.00     7367.55
 1973   53      1919     3271.39     3354.84     6626.22
 1973   54      1919     3292.52     3362.98     6655.49
 1973   54      1918     2967.02     2973.64     5940.66
 1973   55      1918     2948.24     2974.40     5922.64
 1973   55      1917     3003.41     2864.73     5868.14
 1973   56      1917     2986.73     2852.98     5839.71
 1973   56      1916     2933.40     2943.31     5876.71
 1973   57      1916     2920.48     2927.95     5848.43
 1973   57      1915     2900.15     2848.28     5748.43
 1973   58      1915     2916.40     2815.74     5732.14
 1973   58      1914     2984.57     2921.90     5906.47
 1973   59      1914     2970.39     2885.44     5855.84
 1973   59      1913     2992.89     3007.44     6000.34
 1973   60      1913     2995.63     3006.51     6002.13
 1973   60      1912     2896.13     2741.51     5637.63
 1973   61      1912     2879.51     2684.77     5564.27
 1973   61      1911     2768.51     2664.44     5432.94
 1973   62      1911     2760.86     2651.34     5412.19
 1973   62      1910     2785.86     2416.34     5202.19
 1973   63      1910     2767.25     2391.35     5158.60
 1973   63      1909     2478.42     2254.85     4733.27
 1973   64      1909     2493.10     2210.94     4704.04
 1973   64      1908     2449.10     2213.27     4662.37
 1973   65      1908     2412.39     2158.88     4571.27
 1973   65      1907     2358.73     2040.71     4399.43
 1973   66      1907     2354.48     2010.55     4365.02
 1973   66      1906     2125.64     1888.05     4013.69
 1973   67      1906     2088.64     1854.48     3943.13
 1973   67      1905     2122.48     1881.15     4003.63
 1973   68      1905     2094.40     1820.64     3915.04
 1973   68      1904     1979.73     1630.98     3610.71
 1973   69      1904     1964.57     1587.48     3552.05
 1973   69      1903     1807.07     1584.15     3391.22
 1973   70      1903     1787.29     1537.34     3324.63
 1973   70      1902     1683.29     1429.18     3112.46
 1973   71      1902     1656.03     1381.34     3037.38
 1973   71      1901     1651.03     1317.68     2968.71
 1973   72      1901     1626.54     1282.18     2908.72
 1973   72      1900     1701.04     1219.85     2920.89
 1973   73      1900     1663.05     1177.93     2840.98
 1973   73      1899     1641.05     1104.10     2745.14
 1973   74      1899     1618.55     1048.93     2667.48
 1973   74      1898     1418.05      971.10     2389.15
 1973   75      1898     1372.24      917.12     2289.36
 1973   75      1897     1342.24      841.79     2184.03
 1973   76      1897     1299.24      807.04     2106.28
 1973   76      1896     1309.74      735.37     2045.11
