NT, Life tables (period 5x10), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.03347  0.03257  0.18  100000    3257   97318  6647182  66.47
1971-1979      1-4      0.00316  0.01252  1.27   96743    1211  383667  6549864  67.70
1971-1979      5-9      0.00086  0.00431  1.97   95532     411  476413  6166197  64.55
1971-1979     10-14     0.00070  0.00351  2.84   95120     334  474881  5689784  59.82
1971-1979     15-19     0.00170  0.00847  2.87   94786     803  472224  5214903  55.02
1971-1979     20-24     0.00167  0.00834  2.65   93983     784  468078  4742679  50.46
1971-1979     25-29     0.00150  0.00746  2.25   93199     696  464086  4274601  45.87
1971-1979     30-34     0.00227  0.01130  2.78   92504    1045  460195  3810515  41.19
1971-1979     35-39     0.00403  0.01997  2.85   91459    1826  453359  3350320  36.63
1971-1979     40-44     0.00566  0.02788  2.47   89632    2499  441828  2896961  32.32
1971-1979     45-49     0.00781  0.03840  2.82   87134    3346  428362  2455133  28.18
1971-1979     50-54     0.01169  0.05678  2.47   83788    4757  406917  2026770  24.19
1971-1979     55-59     0.01535  0.07386  2.46   79031    5837  380323  1619853  20.50
1971-1979     60-64     0.02156  0.10226  2.49   73193    7485  347167  1239530  16.93
1971-1979     65-69     0.03574  0.16384  2.46   65708   10766  301242   892363  13.58
1971-1979     70-74     0.05641  0.24744  2.52   54943   13595  240987   591121  10.76
1971-1979     75-79     0.10729  0.41746  2.34   41348   17261  160887   350134   8.47
1971-1979     80-84     0.09383  0.37866  2.45   24086    9121   97201   189247   7.86
1971-1979     85-89     0.13226  0.49057  2.37   14966    7342   55510    92046   6.15
1971-1979     90-94     0.18295  0.60912  2.26    7624    4644   25384    36536   4.79
1971-1979     95-99     0.24713  0.72173  2.12    2980    2151    8703    11152   3.74
1971-1979    100-104    0.32449  0.81627  1.96     829     677    2086     2449   2.95
1971-1979    105-109    0.41259  0.88615  1.78     152     135     327      363   2.38
1971-1979    110+       0.48603  1.00000  2.06      17      17      36       36   2.06
1980-1989        0      0.01668  0.01644  0.11  100000    1644   98545  7210993  72.11
1980-1989      1-4      0.00162  0.00645  1.60   98356     634  391901  7112448  72.31
1980-1989      5-9      0.00085  0.00426  2.47   97722     416  487556  6720547  68.77
1980-1989     10-14     0.00059  0.00292  3.04   97306     284  485971  6232991  64.06
1980-1989     15-19     0.00119  0.00593  2.57   97021     575  483710  5747020  59.23
1980-1989     20-24     0.00155  0.00775  2.54   96446     747  480391  5263310  54.57
1980-1989     25-29     0.00123  0.00612  2.42   95699     585  476985  4782919  49.98
1980-1989     30-34     0.00184  0.00918  2.53   95114     873  473412  4305933  45.27
1980-1989     35-39     0.00198  0.00987  2.54   94241     930  468913  3832522  40.67
1980-1989     40-44     0.00320  0.01586  2.77   93310    1480  463249  3363609  36.05
1980-1989     45-49     0.00456  0.02254  2.52   91830    2069  454016  2900361  31.58
1980-1989     50-54     0.00697  0.03427  2.62   89761    3076  441495  2446345  27.25
1980-1989     55-59     0.01374  0.06658  2.70   86684    5771  420132  2004850  23.13
1980-1989     60-64     0.01953  0.09327  2.61   80913    7547  386530  1584718  19.59
1980-1989     65-69     0.02937  0.13651  2.42   73366   10015  340957  1198188  16.33
1980-1989     70-74     0.04236  0.19195  2.56   63351   12160  287039   857232  13.53
1980-1989     75-79     0.05668  0.24595  2.31   51191   12591  222140   570192  11.14
1980-1989     80-84     0.06820  0.29236  2.56   38600   11285  165482   348053   9.02
1980-1989     85-89     0.11017  0.43065  2.47   27315   11763  106773   182570   6.68
1980-1989     90-94     0.17248  0.59009  2.32   15552    9177   53206    75797   4.87
1980-1989     95-99     0.25871  0.74234  2.13    6375    4732   18292    22591   3.54
1980-1989    100-104    0.36792  0.85850  1.89    1643    1410    3833     4299   2.62
1980-1989    105-109    0.49245  0.92915  1.65     232     216     439      466   2.01
1980-1989    110+       0.59647  1.00000  1.68      16      16      28       28   1.68
1990-1999        0      0.01354  0.01338  0.12  100000    1338   98824  7457336  74.57
1990-1999      1-4      0.00087  0.00346  1.47   98662     341  393785  7358512  74.58
1990-1999      5-9      0.00053  0.00263  2.48   98321     259  490951  6964727  70.84
1990-1999     10-14     0.00065  0.00324  2.54   98062     318  489527  6473776  66.02
1990-1999     15-19     0.00117  0.00583  2.25   97744     570  487150  5984249  61.22
1990-1999     20-24     0.00123  0.00611  2.18   97174     594  484193  5497098  56.57
1990-1999     25-29     0.00108  0.00536  2.64   96580     518  481676  5012905  51.90
1990-1999     30-34     0.00144  0.00719  2.74   96062     691  478746  4531229  47.17
1990-1999     35-39     0.00164  0.00818  2.75   95371     780  475098  4052483  42.49
1990-1999     40-44     0.00294  0.01458  2.67   94591    1380  469743  3577386  37.82
1990-1999     45-49     0.00358  0.01777  2.72   93212    1656  462280  3107643  33.34
1990-1999     50-54     0.00543  0.02683  2.92   91555    2456  452672  2645363  28.89
1990-1999     55-59     0.00893  0.04371  2.63   89099    3895  436281  2192691  24.61
