QLD, Death rates (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.013622        0.017026        0.015364
1971-1979        1             0.001335        0.001351        0.001343
1971-1979        2             0.000764        0.000998        0.000884
1971-1979        3             0.000593        0.000836        0.000717
1971-1979        4             0.000418        0.000553        0.000487
1971-1979        5             0.000364        0.000481        0.000424
1971-1979        6             0.000375        0.000486        0.000432
1971-1979        7             0.000255        0.000354        0.000305
1971-1979        8             0.000302        0.000282        0.000292
1971-1979        9             0.000304        0.000306        0.000305
1971-1979       10             0.000251        0.000368        0.000311
1971-1979       11             0.000303        0.000278        0.000290
1971-1979       12             0.000210        0.000488        0.000352
1971-1979       13             0.000192        0.000448        0.000323
1971-1979       14             0.000307        0.000615        0.000465
1971-1979       15             0.000476        0.000759        0.000620
1971-1979       16             0.000534        0.001254        0.000901
1971-1979       17             0.000710        0.001885        0.001308
1971-1979       18             0.000823        0.002378        0.001613
1971-1979       19             0.000604        0.002736        0.001687
1971-1979       20             0.000685        0.002233        0.001473
1971-1979       21             0.000700        0.002250        0.001491
1971-1979       22             0.000501        0.001998        0.001268
1971-1979       23             0.000495        0.001750        0.001139
1971-1979       24             0.000745        0.001761        0.001268
1971-1979       25             0.000529        0.001799        0.001180
1971-1979       26             0.000611        0.001411        0.001021
1971-1979       27             0.000571        0.001530        0.001063
1971-1979       28             0.000575        0.001344        0.000969
1971-1979       29             0.000598        0.001463        0.001041
1971-1979       30             0.000759        0.001427        0.001102
1971-1979       31             0.000746        0.001684        0.001228
1971-1979       32             0.000910        0.001765        0.001349
1971-1979       33             0.000799        0.001560        0.001189
1971-1979       34             0.000894        0.001753        0.001334
1971-1979       35             0.001031        0.002060        0.001558
1971-1979       36             0.001128        0.002199        0.001677
1971-1979       37             0.001386        0.002237        0.001822
1971-1979       38             0.001539        0.002325        0.001942
1971-1979       39             0.001573        0.002650        0.002126
1971-1979       40             0.001636        0.003129        0.002403
1971-1979       41             0.001901        0.003132        0.002533
1971-1979       42             0.002356        0.003682        0.003038
1971-1979       43             0.002453        0.004023        0.003260
1971-1979       44             0.002497        0.004830        0.003695
1971-1979       45             0.003070        0.005178        0.004154
1971-1979       46             0.003029        0.005609        0.004356
1971-1979       47             0.003984        0.005863        0.004949
1971-1979       48             0.004254        0.006601        0.005458
1971-1979       49             0.004216        0.007593        0.005945
1971-1979       50             0.004500        0.008045        0.006317
1971-1979       51             0.004720        0.009245        0.007032
1971-1979       52             0.005130        0.009980        0.007601
1971-1979       53             0.005750        0.010695        0.008257
1971-1979       54             0.006231        0.011176        0.008725
1971-1979       55             0.006537        0.012358        0.009461
1971-1979       56             0.007283        0.014058        0.010661
1971-1979       57             0.007693        0.015263        0.011446
1971-1979       58             0.008120        0.017164        0.012577
1971-1979       59             0.009096        0.018699        0.013805
1971-1979       60             0.010203        0.020683        0.015327
1971-1979       61             0.010043        0.021453        0.015590
1971-1979       62             0.012111        0.024093        0.017927
1971-1979       63             0.012338        0.026964        0.019429
1971-1979       64             0.013684        0.029381        0.021312
1971-1979       65             0.013707        0.031943        0.022555
1971-1979       66             0.015273        0.032493        0.023617
1971-1979       67             0.017371        0.036838        0.026765
1971-1979       68             0.019426        0.038769        0.028710
1971-1979       69             0.021649        0.042980        0.031809
1971-1979       70             0.022902        0.046960        0.034248
1971-1979       71             0.024876        0.049444        0.036308
1971-1979       72             0.028857        0.055084        0.040880
1971-1979       73             0.031110        0.060610        0.044374
