WA, Life tables (period 1x5), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01793  0.01765  0.11  100000    1765   98433  7249983  72.50
1971-1974        1      0.00163  0.00163  0.50   98235     160   98155  7151550  72.80
1971-1974        2      0.00099  0.00099  0.50   98075      97   98026  7053395  71.92
1971-1974        3      0.00075  0.00075  0.50   97978      73   97941  6955368  70.99
1971-1974        4      0.00056  0.00056  0.50   97904      55   97877  6857427  70.04
1971-1974        5      0.00041  0.00041  0.50   97849      40   97829  6759551  69.08
1971-1974        6      0.00034  0.00034  0.50   97809      34   97793  6661721  68.11
1971-1974        7      0.00031  0.00031  0.50   97776      30   97761  6563929  67.13
1971-1974        8      0.00032  0.00032  0.50   97746      31   97730  6466168  66.15
1971-1974        9      0.00035  0.00035  0.50   97714      34   97698  6368438  65.17
1971-1974       10      0.00036  0.00036  0.50   97681      36   97663  6270741  64.20
1971-1974       11      0.00032  0.00032  0.50   97645      31   97629  6173078  63.22
1971-1974       12      0.00023  0.00023  0.50   97614      22   97603  6075448  62.24
1971-1974       13      0.00026  0.00026  0.50   97592      26   97579  5977845  61.25
1971-1974       14      0.00029  0.00029  0.50   97566      28   97552  5880266  60.27
1971-1974       15      0.00046  0.00046  0.50   97538      45   97516  5782714  59.29
1971-1974       16      0.00080  0.00080  0.50   97493      78   97454  5685198  58.31
1971-1974       17      0.00115  0.00115  0.50   97415     112   97359  5587744  57.36
1971-1974       18      0.00164  0.00164  0.50   97302     160   97223  5490386  56.43
1971-1974       19      0.00122  0.00122  0.50   97143     118   97083  5393163  55.52
1971-1974       20      0.00130  0.00129  0.50   97024     126   96962  5296080  54.59
1971-1974       21      0.00135  0.00135  0.50   96899     131   96833  5199118  53.66
1971-1974       22      0.00094  0.00094  0.50   96768      91   96722  5102285  52.73
1971-1974       23      0.00109  0.00109  0.50   96677     105   96624  5005563  51.78
1971-1974       24      0.00113  0.00113  0.50   96572     109   96517  4908938  50.83
1971-1974       25      0.00093  0.00093  0.50   96463      90   96418  4812421  49.89
1971-1974       26      0.00080  0.00080  0.50   96373      77   96334  4716003  48.94
1971-1974       27      0.00086  0.00086  0.50   96296      83   96254  4619669  47.97
1971-1974       28      0.00065  0.00065  0.50   96213      62   96182  4523415  47.01
1971-1974       29      0.00117  0.00117  0.50   96150     112   96094  4427233  46.04
1971-1974       30      0.00111  0.00111  0.50   96038     106   95985  4331139  45.10
