WA, Life tables (period 1x1), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.02297  0.02251  0.10  100000    2251   97982  6850334  68.50
  1971           1      0.00159  0.00159  0.50   97749     155   97672  6752352  69.08
  1971           2      0.00109  0.00109  0.50   97594     106   97541  6654680  68.19
  1971           3      0.00046  0.00046  0.50   97488      44   97466  6557139  67.26
  1971           4      0.00132  0.00131  0.50   97443     128   97379  6459674  66.29
  1971           5      0.00047  0.00047  0.50   97315      46   97292  6362295  65.38
  1971           6      0.00104  0.00104  0.50   97269     101   97219  6265002  64.41
  1971           7      0.00009  0.00009  0.50   97168       9   97164  6167783  63.48
  1971           8      0.00045  0.00045  0.50   97159      44   97137  6070620  62.48
  1971           9      0.00044  0.00044  0.50   97116      43   97094  5973482  61.51
  1971          10      0.00044  0.00044  0.50   97073      43   97051  5876388  60.54
  1971          11      0.00045  0.00045  0.50   97030      43   97008  5779337  59.56
  1971          12      0.00018  0.00018  0.50   96987      18   96978  5682329  58.59
  1971          13      0.00037  0.00037  0.50   96969      36   96951  5585351  57.60
  1971          14      0.00094  0.00094  0.50   96933      91   96887  5488400  56.62
  1971          15      0.00029  0.00029  0.50   96842      28   96828  5391513  55.67
  1971          16      0.00069  0.00069  0.50   96814      66   96781  5294685  54.69
  1971          17      0.00134  0.00133  0.50   96748     129   96683  5197904  53.73
  1971          18      0.00253  0.00253  0.50   96619     244   96497  5101220  52.80
  1971          19      0.00116  0.00116  0.50   96374     111   96319  5004724  51.93
  1971          20      0.00189  0.00189  0.50   96263     182   96172  4908405  50.99
  1971          21      0.00209  0.00208  0.50   96081     200   95981  4812233  50.09
  1971          22      0.00163  0.00163  0.50   95881     156   95803  4716252  49.19
  1971          23      0.00163  0.00163  0.50   95725     156   95647  4620448  48.27
  1971          24      0.00211  0.00211  0.50   95569     202   95468  4524801  47.35
  1971          25      0.00194  0.00194  0.50   95367     185   95275  4429333  46.45
  1971          26      0.00144  0.00144  0.50   95182     137   95114  4334059  45.53
  1971          27      0.00103  0.00103  0.50   95046      98   94997  4238945  44.60
  1971          28      0.00142  0.00142  0.50   94948     135   94880  4143948  43.64
  1971          29      0.00225  0.00225  0.50   94813     213   94706  4049068  42.71
  1971          30      0.00165  0.00164  0.50   94600     156   94522  3954362  41.80
  1971          31      0.00211  0.00211  0.50   94444     199   94345  3859840  40.87
  1971          32      0.00191  0.00191  0.50   94245     180   94156  3765495  39.95
  1971          33      0.00112  0.00112  0.50   94066     106   94013  3671340  39.03
  1971          34      0.00143  0.00143  0.50   93960     134   93893  3577327  38.07
  1971          35      0.00264  0.00264  0.50   93826     247   93702  3483434  37.13
  1971          36      0.00195  0.00195  0.50   93579     183   93487  3389731  36.22
  1971          37      0.00282  0.00282  0.50   93396     263   93264  3296244  35.29
  1971          38      0.00142  0.00142  0.50   93133     132   93067  3202979  34.39
  1971          39      0.00286  0.00286  0.50   93001     266   92868  3109913  33.44
  1971          40      0.00344  0.00343  0.50   92735     318   92576  3017044  32.53
  1971          41      0.00247  0.00247  0.50   92417     228   92303  2924469  31.64
  1971          42      0.00361  0.00361  0.50   92189     333   92022  2832166  30.72
  1971          43      0.00320  0.00319  0.50   91856     293   91709  2740144  29.83
  1971          44      0.00285  0.00285  0.50   91563     261   91432  2648434  28.92
  1971          45      0.00356  0.00355  0.50   91302     324   91140  2557002  28.01
  1971          46      0.00387  0.00386  0.50   90978     352   90802  2465862  27.10
  1971          47      0.00541  0.00540  0.50   90626     489   90381  2375061  26.21
  1971          48      0.00799  0.00796  0.50   90137     717   89778  2284679  25.35
  1971          49      0.00471  0.00470  0.50   89419     421   89209  2194901  24.55
  1971          50      0.00787  0.00784  0.50   88999     698   88650  2105692  23.66
  1971          51      0.00777  0.00774  0.50   88301     684   87959  2017042  22.84
  1971          52      0.00680  0.00678  0.50   87617     594   87320  1929083  22.02
  1971          53      0.00699  0.00696  0.50   87024     606   86721  1841763  21.16
  1971          54      0.01081  0.01075  0.50   86418     929   85953  1755042  20.31
  1971          55      0.00974  0.00969  0.50   85489     829   85074  1669089  19.52
  1971          56      0.01346  0.01337  0.50   84660    1132   84094  1584014  18.71
  1971          57      0.01761  0.01746  0.50   83528    1458   82799  1499920  17.96
  1971          58      0.01370  0.01360  0.50   82070    1116   81512  1417121  17.27
  1971          59      0.01968  0.01948  0.50   80954    1577   80165  1335609  16.50
  1971          60      0.01871  0.01853  0.50   79376    1471   78641  1255444  15.82
  1971          61      0.01865  0.01848  0.50   77905    1439   77185  1176803  15.11
  1971          62      0.02848  0.02808  0.50   76466    2147   75392  1099618  14.38
  1971          63      0.02690  0.02655  0.50   74319    1973   73332  1024226  13.78
  1971          64      0.03134  0.03086  0.50   72346    2233   71229   950894  13.14
  1971          65      0.03883  0.03809  0.50   70113    2671   68778   879664  12.55
  1971          66      0.03102  0.03055  0.50   67442    2060   66412   810887  12.02
  1971          67      0.03953  0.03876  0.50   65382    2534   64115   744474  11.39
  1971          68      0.03898  0.03824  0.50   62848    2403   61646   680359  10.83
  1971          69      0.04621  0.04517  0.50   60445    2730   59080   618713  10.24
  1971          70      0.05034  0.04910  0.50   57715    2834   56298   559633   9.70
  1971          71      0.05451  0.05307  0.50   54881    2912   53424   503335   9.17
  1971          72      0.06163  0.05979  0.50   51968    3107   50415   449911   8.66
  1971          73      0.06700  0.06483  0.50   48861    3167   47277   399496   8.18
  1971          74      0.07834  0.07538  0.50   45694    3445   43971   352219   7.71
  1971          75      0.08659  0.08300  0.50   42249    3507   40496   308247   7.30
  1971          76      0.09967  0.09494  0.50   38743    3678   36903   267752   6.91
  1971          77      0.09205  0.08800  0.50   35064    3086   33522   230848   6.58
  1971          78      0.09660  0.09215  0.50   31979    2947   30505   197327   6.17
  1971          79      0.12392  0.11669  0.50   29032    3388   27338   166821   5.75
  1971          80      0.13464  0.12615  0.50   25644    3235   24027   139483   5.44
  1971          81      0.14511  0.13529  0.50   22409    3032   20893   115456   5.15
  1971          82      0.15624  0.14492  0.50   19377    2808   17973    94563   4.88
  1971          83      0.16806  0.15503  0.50   16569    2569   15285    76590   4.62
  1971          84      0.18058  0.16563  0.50   14000    2319   12841    61305   4.38
  1971          85      0.19382  0.17669  0.50   11682    2064   10650    48464   4.15
  1971          86      0.20778  0.18822  0.50    9618    1810    8712    37815   3.93
  1971          87      0.22247  0.20020  0.50    7807    1563    7026    29102   3.73
  1971          88      0.23788  0.21260  0.50    6244    1328    5581    22077   3.54
  1971          89      0.25402  0.22539  0.50    4917    1108    4363    16496   3.36
  1971          90      0.27086  0.23855  0.50    3809     909    3354    12133   3.19
  1971          91      0.28838  0.25204  0.50    2900     731    2535     8779   3.03
  1971          92      0.30657  0.26582  0.50    2169     577    1881     6245   2.88
  1971          93      0.32537  0.27984  0.50    1593     446    1370     4364   2.74
  1971          94      0.34476  0.29407  0.50    1147     337     978     2994   2.61
  1971          95      0.36467  0.30843  0.50     810     250     685     2016   2.49
  1971          96      0.38506  0.32289  0.50     560     181     469     1331   2.38
  1971          97      0.40586  0.33739  0.50     379     128     315      862   2.27
  1971          98      0.42701  0.35188  0.50     251      88     207      546   2.18
  1971          99      0.44842  0.36630  0.50     163      60     133      339   2.08
  1971         100      0.47003  0.38059  0.50     103      39      84      206   2.00
  1971         101      0.49175  0.39470  0.50      64      25      51      123   1.92
  1971         102      0.51350  0.40860  0.50      39      16      31       72   1.85
  1971         103      0.53520  0.42222  0.50      23      10      18       41   1.78
  1971         104      0.55677  0.43553  0.50      13       6      10       23   1.72
  1971         105      0.57813  0.44849  0.50       7       3       6       12   1.67
  1971         106      0.59920  0.46106  0.50       4       2       3        7   1.61
  1971         107      0.61991  0.47323  0.50       2       1       2        3   1.57
  1971         108      0.64019  0.48496  0.50       1       1       1        2   1.53
  1971         109      0.65998  0.49623  0.50       1       0       0        1   1.49
  1971         110+     0.67923  1.00000  1.47       0       0       0        0   1.47
  1972           0      0.01817  0.01788  0.11  100000    1788   98414  6960277  69.60
  1972           1      0.00145  0.00145  0.50   98212     142   98141  6861863  69.87
  1972           2      0.00079  0.00079  0.50   98070      77   98031  6763722  68.97
  1972           3      0.00116  0.00116  0.50   97993     114   97936  6665691  68.02
  1972           4      0.00027  0.00027  0.50   97879      27   97866  6567755  67.10
  1972           5      0.00055  0.00055  0.50   97852      54   97825  6469890  66.12
  1972           6      0.00047  0.00047  0.50   97798      46   97775  6372064  65.16
  1972           7      0.00047  0.00047  0.50   97752      46   97729  6274289  64.19
  1972           8      0.00046  0.00046  0.50   97706      45   97683  6176560  63.22
  1972           9      0.00027  0.00027  0.50   97661      26   97648  6078877  62.24
  1972          10      0.00044  0.00044  0.50   97635      43   97613  5981230  61.26
  1972          11      0.00078  0.00078  0.50   97592      77   97554  5883616  60.29
  1972          12      0.00026  0.00026  0.50   97515      26   97503  5786063  59.33
  1972          13      0.00045  0.00045  0.50   97490      44   97468  5688560  58.35
  1972          14      0.00028  0.00028  0.50   97446      27   97432  5591092  57.38
  1972          15      0.00076  0.00076  0.50   97419      74   97382  5493660  56.39
  1972          16      0.00151  0.00151  0.50   97345     147   97272  5396278  55.43
  1972          17      0.00174  0.00174  0.50   97198     169   97114  5299006  54.52
  1972          18      0.00163  0.00163  0.50   97029     158   96950  5201892  53.61
  1972          19      0.00187  0.00187  0.50   96871     181   96781  5104942  52.70
  1972          20      0.00155  0.00155  0.50   96690     150   96615  5008161  51.80
  1972          21      0.00154  0.00154  0.50   96540     149   96466  4911547  50.88
  1972          22      0.00205  0.00205  0.50   96391     197   96293  4815081  49.95
  1972          23      0.00171  0.00171  0.50   96194     165   96112  4718788  49.05
  1972          24      0.00203  0.00202  0.50   96029     194   95932  4622677  48.14
  1972          25      0.00090  0.00090  0.50   95835      87   95792  4526744  47.23
  1972          26      0.00087  0.00087  0.50   95748      83   95707  4430953  46.28
  1972          27      0.00143  0.00143  0.50   95665     137   95597  4335246  45.32
  1972          28      0.00113  0.00112  0.50   95529     107   95475  4239649  44.38
  1972          29      0.00227  0.00226  0.50   95421     216   95313  4144174  43.43
  1972          30      0.00149  0.00148  0.50   95205     141   95134  4048861  42.53
  1972          31      0.00087  0.00087  0.50   95064      83   95022  3953727  41.59
  1972          32      0.00208  0.00208  0.50   94981     197   94882  3858704  40.63
  1972          33      0.00188  0.00188  0.50   94783     178   94694  3763822  39.71
  1972          34      0.00165  0.00165  0.50   94606     156   94527  3669128  38.78
  1972          35      0.00184  0.00184  0.50   94449     173   94363  3574600  37.85
  1972          36      0.00172  0.00172  0.50   94276     162   94195  3480238  36.92
  1972          37      0.00224  0.00223  0.50   94114     210   94008  3386043  35.98
  1972          38      0.00205  0.00205  0.50   93903     192   93807  3292034  35.06
  1972          39      0.00236  0.00236  0.50   93711     221   93600  3198227  34.13
  1972          40      0.00216  0.00216  0.50   93490     202   93389  3104627  33.21
  1972          41      0.00220  0.00220  0.50   93288     205   93186  3011238  32.28
  1972          42      0.00204  0.00204  0.50   93084     190   92989  2918052  31.35
  1972          43      0.00378  0.00377  0.50   92894     351   92719  2825063  30.41
  1972          44      0.00316  0.00316  0.50   92543     292   92397  2732344  29.53
  1972          45      0.00470  0.00469  0.50   92251     433   92035  2639947  28.62
  1972          46      0.00422  0.00421  0.50   91818     387   91625  2547913  27.75
  1972          47      0.00389  0.00388  0.50   91431     355   91254  2456288  26.86
  1972          48      0.00709  0.00707  0.50   91076     644   90755  2365034  25.97
  1972          49      0.00500  0.00498  0.50   90433     451   90207  2274279  25.15
  1972          50      0.00593  0.00591  0.50   89982     532   89716  2184072  24.27
  1972          51      0.00753  0.00750  0.50   89450     671   89115  2094356  23.41
  1972          52      0.00643  0.00641  0.50   88780     569   88495  2005241  22.59
  1972          53      0.00811  0.00808  0.50   88211     713   87854  1916746  21.73
  1972          54      0.00833  0.00830  0.50   87498     726   87135  1828891  20.90
  1972          55      0.01152  0.01145  0.50   86772     994   86276  1741756  20.07
  1972          56      0.01672  0.01659  0.50   85779    1423   85067  1655480  19.30
  1972          57      0.01213  0.01206  0.50   84356    1017   83848  1570413  18.62
  1972          58      0.01596  0.01584  0.50   83339    1320   82679  1486565  17.84
  1972          59      0.01519  0.01507  0.50   82019    1236   81401  1403886  17.12
  1972          60      0.01886  0.01869  0.50   80783    1509   80028  1322485  16.37
  1972          61      0.01948  0.01929  0.50   79273    1529   78509  1242457  15.67
  1972          62      0.02558  0.02526  0.50   77744    1964   76762  1163949  14.97
  1972          63      0.02342  0.02315  0.50   75780    1754   74903  1087187  14.35
  1972          64      0.03101  0.03054  0.50   74026    2261   72896  1012284  13.67
  1972          65      0.03000  0.02956  0.50   71766    2121   70705   939388  13.09
  1972          66      0.02905  0.02863  0.50   69644    1994   68647   868683  12.47
  1972          67      0.03958  0.03881  0.50   67650    2626   66337   800036  11.83
  1972          68      0.03998  0.03920  0.50   65025    2549   63750   733698  11.28
  1972          69      0.04273  0.04184  0.50   62476    2614   61169   669948  10.72
  1972          70      0.04796  0.04683  0.50   59862    2804   58460   608779  10.17
  1972          71      0.05652  0.05497  0.50   57058    3136   55490   550319   9.64
  1972          72      0.06075  0.05896  0.50   53922    3179   52332   494829   9.18
  1972          73      0.06397  0.06198  0.50   50743    3145   49170   442496   8.72
  1972          74      0.05762  0.05600  0.50   47598    2666   46265   393326   8.26
  1972          75      0.06382  0.06184  0.50   44932    2779   43543   347061   7.72
  1972          76      0.09358  0.08940  0.50   42153    3768   40269   303519   7.20
  1972          77      0.08746  0.08379  0.50   38385    3216   36777   263249   6.86
  1972          78      0.11222  0.10626  0.50   35169    3737   33300   226472   6.44
  1972          79      0.09759  0.09305  0.50   31432    2925   29969   193172   6.15
  1972          80      0.11580  0.10946  0.50   28507    3120   26947   163203   5.73
  1972          81      0.12750  0.11986  0.50   25387    3043   23865   136256   5.37
  1972          82      0.14019  0.13101  0.50   22344    2927   20880   112391   5.03
  1972          83      0.15393  0.14293  0.50   19417    2775   18029    91511   4.71
  1972          84      0.16874  0.15561  0.50   16641    2590   15347    73482   4.42
  1972          85      0.18467  0.16906  0.50   14052    2376   12864    58135   4.14
  1972          86      0.20174  0.18325  0.50   11676    2140   10606    45271   3.88
  1972          87      0.21996  0.19816  0.50    9537    1890    8592    34665   3.63
  1972          88      0.23933  0.21375  0.50    7647    1634    6830    26073   3.41
  1972          89      0.25984  0.22996  0.50    6012    1383    5321    19244   3.20
  1972          90      0.28146  0.24673  0.50    4630    1142    4059    13923   3.01
  1972          91      0.30413  0.26399  0.50    3487     921    3027     9864   2.83
  1972          92      0.32780  0.28164  0.50    2567     723    2205     6837   2.66
  1972          93      0.35238  0.29960  0.50    1844     552    1568     4632   2.51
  1972          94      0.37777  0.31775  0.50    1291     410    1086     3064   2.37
  1972          95      0.40384  0.33600  0.50     881     296     733     1978   2.25
  1972          96      0.43047  0.35423  0.50     585     207     481     1245   2.13
  1972          97      0.45751  0.37234  0.50     378     141     307      764   2.02
  1972          98      0.48480  0.39021  0.50     237      93     191      456   1.92
  1972          99      0.51218  0.40776  0.50     145      59     115      265   1.83
  1972         100      0.53949  0.42488  0.50      86      36      67      150   1.75
  1972         101      0.56657  0.44150  0.50      49      22      38       83   1.68
  1972         102      0.59325  0.45753  0.50      28      13      21       44   1.61
  1972         103      0.61939  0.47293  0.50      15       7      11       23   1.55
  1972         104      0.64486  0.48763  0.50       8       4       6       12   1.50
  1972         105      0.66953  0.50161  0.50       4       2       3        6   1.45
  1972         106      0.69331  0.51484  0.50       2       1       1        3   1.41
  1972         107      0.71610  0.52730  0.50       1       1       1        1   1.37
  1972         108      0.73784  0.53899  0.50       0       0       0        1   1.33
  1972         109      0.75847  0.54992  0.50       0       0       0        0   1.30
  1972         110+     0.77797  1.00000  1.29       0       0       0        0   1.29
  1973           0      0.02287  0.02241  0.10  100000    2241   97991  6892971  68.93
  1973           1      0.00175  0.00175  0.50   97759     171   97673  6794980  69.51
  1973           2      0.00092  0.00092  0.50   97588      90   97543  6697307  68.63
  1973           3      0.00095  0.00095  0.50   97498      93   97452  6599764  67.69
  1973           4      0.00053  0.00053  0.50   97405      52   97379  6502312  66.76
  1973           5      0.00045  0.00045  0.50   97354      44   97332  6404933  65.79
  1973           6      0.00009  0.00009  0.50   97310       9   97306  6307601  64.82
  1973           7      0.00028  0.00028  0.50   97301      27   97288  6210295  63.83
  1973           8      0.00047  0.00047  0.50   97274      46   97251  6113008  62.84
  1973           9      0.00018  0.00018  0.50   97229      18   97220  6015756  61.87
  1973          10      0.00053  0.00053  0.50   97211      51   97185  5918537  60.88
  1973          11      0.00017  0.00017  0.50   97159      17   97151  5821352  59.92
  1973          12      0.00035  0.00035  0.50   97143      34   97126  5724201  58.93
  1973          13      0.00052  0.00052  0.50   97109      50   97084  5627075  57.95
  1973          14      0.00009  0.00009  0.50   97059       9   97054  5529991  56.98
  1973          15      0.00055  0.00055  0.50   97050      54   97023  5432937  55.98
  1973          16      0.00114  0.00114  0.50   96996     111   96941  5335914  55.01
  1973          17      0.00171  0.00171  0.50   96886     165   96803  5238973  54.07
  1973          18      0.00289  0.00289  0.50   96720     279   96580  5142170  53.17
  1973          19      0.00231  0.00231  0.50   96441     222   96330  5045590  52.32
  1973          20      0.00214  0.00214  0.50   96218     206   96115  4949260  51.44
  1973          21      0.00313  0.00313  0.50   96013     300   95863  4853145  50.55
  1973          22      0.00131  0.00131  0.50   95712     125   95650  4757282  49.70
  1973          23      0.00170  0.00170  0.50   95587     162   95506  4661633  48.77
  1973          24      0.00098  0.00098  0.50   95425      94   95378  4566126  47.85
  1973          25      0.00162  0.00162  0.50   95331     154   95254  4470748  46.90
  1973          26      0.00107  0.00107  0.50   95177     102   95126  4375494  45.97
  1973          27      0.00143  0.00143  0.50   95075     136   95007  4280368  45.02
  1973          28      0.00077  0.00077  0.50   94939      73   94902  4185361  44.08
  1973          29      0.00169  0.00168  0.50   94866     160   94786  4090459  43.12
  1973          30      0.00143  0.00143  0.50   94706     135   94638  3995673  42.19
  1973          31      0.00099  0.00099  0.50   94571      93   94524  3901035  41.25
  1973          32      0.00112  0.00112  0.50   94477     106   94425  3806511  40.29
  1973          33      0.00207  0.00206  0.50   94372     195   94274  3712086  39.33
  1973          34      0.00212  0.00212  0.50   94177     199   94077  3617812  38.42
  1973          35      0.00123  0.00122  0.50   93978     115   93920  3523735  37.50
  1973          36      0.00251  0.00251  0.50   93862     235   93745  3429815  36.54
  1973          37      0.00185  0.00185  0.50   93627     173   93541  3336070  35.63
  1973          38      0.00194  0.00193  0.50   93454     181   93364  3242529  34.70
  1973          39      0.00253  0.00253  0.50   93274     236   93156  3149165  33.76
  1973          40      0.00219  0.00218  0.50   93038     203   92936  3056009  32.85
  1973          41      0.00292  0.00291  0.50   92835     270   92700  2963073  31.92
  1973          42      0.00324  0.00323  0.50   92564     299   92415  2870373  31.01
  1973          43      0.00422  0.00421  0.50   92265     389   92071  2777958  30.11
  1973          44      0.00349  0.00348  0.50   91876     320   91716  2685888  29.23
  1973          45      0.00379  0.00378  0.50   91556     346   91383  2594171  28.33
  1973          46      0.00468  0.00467  0.50   91210     426   90997  2502788  27.44
  1973          47      0.00571  0.00569  0.50   90784     517   90526  2411791  26.57
  1973          48      0.00611  0.00609  0.50   90268     550   89993  2321265  25.72
  1973          49      0.00700  0.00697  0.50   89718     625   89405  2231272  24.87
  1973          50      0.00636  0.00634  0.50   89093     565   88810  2141867  24.04
  1973          51      0.00611  0.00609  0.50   88528     539   88258  2053056  23.19
  1973          52      0.01105  0.01099  0.50   87989     967   87506  1964798  22.33
  1973          53      0.00910  0.00906  0.50   87022     788   86628  1877292  21.57
  1973          54      0.00921  0.00917  0.50   86234     791   85839  1790664  20.77
  1973          55      0.01150  0.01143  0.50   85444     977   84955  1704825  19.95
  1973          56      0.01227  0.01219  0.50   84467    1030   83952  1619870  19.18
  1973          57      0.01025  0.01020  0.50   83437     851   83011  1535918  18.41
  1973          58      0.01499  0.01488  0.50   82586    1229   81971  1452907  17.59
  1973          59      0.01897  0.01879  0.50   81357    1529   80592  1370936  16.85
  1973          60      0.01890  0.01872  0.50   79828    1494   79081  1290343  16.16
  1973          61      0.01725  0.01710  0.50   78334    1340   77664  1211262  15.46
  1973          62      0.02295  0.02269  0.50   76994    1747   76120  1133598  14.72
  1973          63      0.02554  0.02522  0.50   75247    1898   74298  1057478  14.05
  1973          64      0.03332  0.03278  0.50   73349    2404   72147   983180  13.40
  1973          65      0.03014  0.02969  0.50   70945    2106   69892   911033  12.84
  1973          66      0.03493  0.03433  0.50   68839    2363   67657   841141  12.22
  1973          67      0.03660  0.03594  0.50   66475    2389   65281   773484  11.64
  1973          68      0.04027  0.03947  0.50   64086    2530   62821   708203  11.05
  1973          69      0.04503  0.04404  0.50   61556    2711   60201   645382  10.48
  1973          70      0.04969  0.04848  0.50   58846    2853   57419   585181   9.94
  1973          71      0.05130  0.05001  0.50   55993    2800   54592   527762   9.43
  1973          72      0.06830  0.06604  0.50   53192    3513   51436   473170   8.90
  1973          73      0.06265  0.06074  0.50   49679    3018   48170   421734   8.49
  1973          74      0.06068  0.05889  0.50   46661    2748   45287   373564   8.01
  1973          75      0.08281  0.07952  0.50   43913    3492   42167   328277   7.48
  1973          76      0.07191  0.06941  0.50   40421    2806   39019   286109   7.08
  1973          77      0.09426  0.09002  0.50   37616    3386   35923   247091   6.57
  1973          78      0.12296  0.11584  0.50   34230    3965   32247   211168   6.17
  1973          79      0.10723  0.10178  0.50   30264    3080   28724   178921   5.91
  1973          80      0.14940  0.13902  0.50   27184    3779   25295   150197   5.53
  1973          81      0.14087  0.13160  0.50   23405    3080   21865   124902   5.34
  1973          82      0.15100  0.14040  0.50   20325    2854   18898   103037   5.07
  1973          83      0.16171  0.14961  0.50   17471    2614   16164    84139   4.82
  1973          84      0.17303  0.15925  0.50   14857    2366   13674    67974   4.58
  1973          85      0.18497  0.16931  0.50   12491    2115   11434    54300   4.35
  1973          86      0.19754  0.17978  0.50   10376    1865    9444    42866   4.13
  1973          87      0.21074  0.19065  0.50    8511    1623    7700    33422   3.93
  1973          88      0.22457  0.20190  0.50    6888    1391    6193    25723   3.73
  1973          89      0.23904  0.21352  0.50    5498    1174    4911    19530   3.55
  1973          90      0.25413  0.22548  0.50    4324     975    3836    14619   3.38
  1973          91      0.26984  0.23776  0.50    3349     796    2951    10783   3.22
  1973          92      0.28615  0.25033  0.50    2553     639    2233     7832   3.07
  1973          93      0.30303  0.26316  0.50    1914     504    1662     5599   2.93
  1973          94      0.32046  0.27621  0.50    1410     389    1215     3937   2.79
  1973          95      0.33841  0.28944  0.50    1021     295     873     2722   2.67
  1973          96      0.35684  0.30281  0.50     725     220     615     1849   2.55
  1973          97      0.37570  0.31629  0.50     506     160     426     1234   2.44
  1973          98      0.39494  0.32981  0.50     346     114     289      808   2.34
  1973          99      0.41452  0.34336  0.50     232      80     192      519   2.24
  1973         100      0.43437  0.35686  0.50     152      54     125      327   2.15
  1973         101      0.45443  0.37029  0.50      98      36      80      202   2.07
  1973         102      0.47464  0.38360  0.50      62      24      50      123   1.99
  1973         103      0.49494  0.39675  0.50      38      15      30       73   1.92
  1973         104      0.51525  0.40970  0.50      23       9      18       42   1.85
  1973         105      0.53551  0.42241  0.50      14       6      11       24   1.79
  1973         106      0.55565  0.43484  0.50       8       3       6       14   1.73
  1973         107      0.57562  0.44697  0.50       4       2       3        7   1.68
  1973         108      0.59534  0.45877  0.50       2       1       2        4   1.64
  1973         109      0.61475  0.47022  0.50       1       1       1        2   1.60
  1973         110+     0.63381  1.00000  1.58       1       1       1        1   1.58
  1974           0      0.01677  0.01652  0.12  100000    1652   98539  6961960  69.62
  1974           1      0.00167  0.00167  0.50   98348     164   98266  6863421  69.79
  1974           2      0.00155  0.00155  0.50   98184     152   98108  6765155  68.90
  1974           3      0.00074  0.00074  0.50   98032      73   97996  6667047  68.01
  1974           4      0.00051  0.00051  0.50   97959      50   97935  6569051  67.06
  1974           5      0.00052  0.00052  0.50   97910      51   97884  6471117  66.09
  1974           6      0.00044  0.00044  0.50   97859      43   97837  6373233  65.13
  1974           7      0.00036  0.00036  0.50   97816      35   97798  6275395  64.16
  1974           8      0.00000  0.00000  0.50   97780       0   97780  6177597  63.18
  1974           9      0.00065  0.00065  0.50   97780      63   97749  6079817  62.18
  1974          10      0.00036  0.00036  0.50   97717      35   97700  5982068  61.22
  1974          11      0.00026  0.00026  0.50   97682      25   97669  5884368  60.24
  1974          12      0.00051  0.00051  0.50   97656      50   97631  5786699  59.26
  1974          13      0.00009  0.00009  0.50   97606       8   97602  5689068  58.29
  1974          14      0.00034  0.00034  0.50   97598      33   97581  5591466  57.29
  1974          15      0.00071  0.00071  0.50   97565      69   97530  5493885  56.31
  1974          16      0.00065  0.00065  0.50   97496      63   97464  5396354  55.35
  1974          17      0.00209  0.00209  0.50   97432     204   97331  5298890  54.39
  1974          18      0.00255  0.00255  0.50   97229     248   97105  5201560  53.50
  1974          19      0.00171  0.00171  0.50   96981     166   96897  5104455  52.63
  1974          20      0.00235  0.00234  0.50   96814     227   96701  5007558  51.72
  1974          21      0.00217  0.00217  0.50   96587     210   96483  4910857  50.84
  1974          22      0.00088  0.00088  0.50   96378      85   96335  4814374  49.95
  1974          23      0.00175  0.00175  0.50   96293     169   96209  4718039  49.00
  1974          24      0.00156  0.00156  0.50   96124     150   96050  4621830  48.08
  1974          25      0.00106  0.00106  0.50   95975     102   95924  4525781  47.16
  1974          26      0.00159  0.00159  0.50   95873     152   95797  4429856  46.21
  1974          27      0.00106  0.00106  0.50   95721     101   95671  4334059  45.28
  1974          28      0.00009  0.00009  0.50   95620       9   95616  4238388  44.33
  1974          29      0.00131  0.00130  0.50   95611     125   95549  4142773  43.33
  1974          30      0.00145  0.00145  0.50   95486     138   95417  4047224  42.39
  1974          31      0.00153  0.00153  0.50   95348     146   95275  3951806  41.45
  1974          32      0.00146  0.00146  0.50   95202     139   95133  3856531  40.51
  1974          33      0.00086  0.00086  0.50   95063      82   95022  3761398  39.57
  1974          34      0.00140  0.00140  0.50   94981     133   94915  3666376  38.60
  1974          35      0.00183  0.00183  0.50   94848     173   94762  3571462  37.65
  1974          36      0.00121  0.00121  0.50   94675     114   94618  3476700  36.72
  1974          37      0.00178  0.00178  0.50   94561     168   94477  3382082  35.77
  1974          38      0.00280  0.00279  0.50   94392     264   94261  3287606  34.83
  1974          39      0.00267  0.00266  0.50   94129     251   94003  3193345  33.93
  1974          40      0.00205  0.00205  0.50   93878     192   93782  3099342  33.01
  1974          41      0.00200  0.00200  0.50   93686     187   93592  3005560  32.08
  1974          42      0.00367  0.00366  0.50   93499     343   93327  2911967  31.14
  1974          43      0.00295  0.00295  0.50   93156     275   93019  2818640  30.26
  1974          44      0.00349  0.00348  0.50   92882     323   92720  2725621  29.35
  1974          45      0.00502  0.00501  0.50   92558     464   92326  2632901  28.45
  1974          46      0.00640  0.00638  0.50   92094     587   91801  2540575  27.59
  1974          47      0.00539  0.00537  0.50   91507     492   91261  2448774  26.76
  1974          48      0.00538  0.00537  0.50   91015     488   90771  2357513  25.90
  1974          49      0.00663  0.00660  0.50   90527     598   90228  2266742  25.04
  1974          50      0.00637  0.00635  0.50   89929     571   89643  2176514  24.20
  1974          51      0.00755  0.00752  0.50   89358     672   89022  2086870  23.35
  1974          52      0.00866  0.00862  0.50   88686     765   88304  1997848  22.53
  1974          53      0.00731  0.00728  0.50   87921     640   87601  1909544  21.72
  1974          54      0.01143  0.01137  0.50   87281     992   86785  1821943  20.87
  1974          55      0.00881  0.00877  0.50   86289     757   85910  1735158  20.11
  1974          56      0.01275  0.01267  0.50   85532    1084   84990  1649248  19.28
  1974          57      0.01578  0.01566  0.50   84449    1322   83787  1564257  18.52
