VIC, Life tables (period 5x10), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01306  0.01291  0.12  100000    1291   98867  7316476  73.16
1971-1979      1-4      0.00064  0.00256  1.70   98709     253  394253  7217610  73.12
1971-1979      5-9      0.00033  0.00163  2.31   98456     161  491847  6823357  69.30
1971-1979     10-14     0.00029  0.00146  2.72   98295     143  491149  6331510  64.41
1971-1979     15-19     0.00091  0.00452  3.02   98152     444  489880  5840361  59.50
1971-1979     20-24     0.00107  0.00532  2.42   97708     519  487202  5350481  54.76
1971-1979     25-29     0.00083  0.00412  2.52   97189     401  484949  4863279  50.04
1971-1979     30-34     0.00095  0.00474  2.60   96788     459  482840  4378330  45.24
1971-1979     35-39     0.00139  0.00692  2.73   96330     666  480134  3895490  40.44
1971-1979     40-44     0.00239  0.01187  2.78   95663    1135  475799  3415356  35.70
1971-1979     45-49     0.00422  0.02091  2.71   94528    1976  468115  2939556  31.10
1971-1979     50-54     0.00683  0.03363  2.69   92552    3112  455559  2471441  26.70
1971-1979     55-59     0.01093  0.05332  2.69   89439    4769  436161  2015882  22.54
1971-1979     60-64     0.01719  0.08260  2.65   84670    6994  406897  1579722  18.66
1971-1979     65-69     0.02700  0.12692  2.64   77676    9859  365105  1172824  15.10
1971-1979     70-74     0.04237  0.19252  2.63   67818   13056  308158   807719  11.91
1971-1979     75-79     0.06780  0.29069  2.55   54761   15919  234790   499561   9.12
1971-1979     80-84     0.10754  0.42390  2.50   38843   16465  153111   264771   6.82
1971-1979     85-89     0.16867  0.58086  2.32   22377   12998   77064   111660   4.99
1971-1979     90-94     0.24487  0.72375  2.18    9379    6788   27721    34597   3.69
1971-1979     95-99     0.36185  0.85407  1.91    2591    2213    6115     6875   2.65
1971-1979    100-104    0.48999  0.92860  1.66     378     351     717      760   2.01
1971-1979    105-109    0.62183  0.96586  1.43      27      26      42       43   1.60
1971-1979    110+       0.72426  1.00000  1.38       1       1       1        1   1.38
1980-1989        0      0.00884  0.00877  0.13  100000     877   99238  7588139  75.88
1980-1989      1-4      0.00044  0.00174  1.77   99123     173  396108  7488900  75.55
1980-1989      5-9      0.00022  0.00111  2.40   98951     110  494467  7092793  71.68
1980-1989     10-14     0.00022  0.00112  2.68   98841     111  493946  6598326  66.76
1980-1989     15-19     0.00068  0.00341  3.02   98730     336  492985  6104379  61.83
1980-1989     20-24     0.00097  0.00485  2.47   98394     478  490759  5611394  57.03
1980-1989     25-29     0.00086  0.00432  2.51   97916     423  488528  5120635  52.30
1980-1989     30-34     0.00090  0.00448  2.56   97493     437  486401  4632107  47.51
1980-1989     35-39     0.00106  0.00529  2.66   97057     514  484082  4145706  42.71
1980-1989     40-44     0.00167  0.00833  2.71   96543     804  480873  3661623  37.93
1980-1989     45-49     0.00291  0.01445  2.71   95739    1383  475532  3180751  33.22
1980-1989     50-54     0.00513  0.02537  2.72   94355    2394  466310  2705219  28.67
1980-1989     55-59     0.00855  0.04191  2.70   91962    3854  450924  2238908  24.35
1980-1989     60-64     0.01349  0.06540  2.66   88108    5762  427077  1787984  20.29
1980-1989     65-69     0.02154  0.10251  2.65   82345    8442  391893  1360907  16.53
1980-1989     70-74     0.03459  0.15980  2.62   73904   11810  341370   969013  13.11
1980-1989     75-79     0.05565  0.24536  2.59   62094   15235  273789   627643  10.11
1980-1989     80-84     0.09090  0.37104  2.52   46859   17386  191262   353854   7.55
1980-1989     85-89     0.14381  0.52229  2.38   29473   15393  107040   162592   5.52
1980-1989     90-94     0.22621  0.69574  2.23   14079    9796   43303    55552   3.95
1980-1989     95-99     0.33185  0.82855  1.98    4284    3549   10695    12249   2.86
1980-1989    100-104    0.46344  0.91779  1.71     734     674    1455     1554   2.12
1980-1989    105-109    0.60277  0.96234  1.46      60      58      96      100   1.65
1980-1989    110+       0.71225  1.00000  1.40       2       2       3        3   1.40
1990-1999        0      0.00563  0.00560  0.14  100000     560   99517  7849984  78.50
1990-1999      1-4      0.00032  0.00126  1.65   99440     125  397465  7750467  77.94
1990-1999      5-9      0.00014  0.00071  2.45   99314      70  496393  7353002  74.04
1990-1999     10-14     0.00017  0.00087  2.94   99244      86  496044  6856609  69.09
