VIC, Deaths (period 1x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0              3237.00         4219.00         7456.00
1971-1979        1               222.00          306.00          528.00
1971-1979        2               167.00          256.00          423.00
1971-1979        3               129.00          175.00          304.00
1971-1979        4               114.00          169.00          283.00
1971-1979        5                96.00          131.00          227.00
1971-1979        6               103.00          146.00          249.00
1971-1979        7                82.00          134.00          216.00
1971-1979        8                68.00           97.00          165.00
1971-1979        9                65.00          106.00          171.00
1971-1979       10                56.00           99.00          155.00
1971-1979       11                52.00          100.00          152.00
1971-1979       12                64.00          101.00          165.00
1971-1979       13                76.00          127.00          203.00
1971-1979       14                71.00          156.00          227.00
1971-1979       15               105.00          190.00          295.00
1971-1979       16               124.00          263.00          387.00
1971-1979       17               144.00          349.00          493.00
1971-1979       18               165.00          588.00          753.00
1971-1979       19               191.00          601.00          792.00
1971-1979       20               149.00          533.00          682.00
1971-1979       21               136.00          499.00          635.00
1971-1979       22               125.00          478.00          603.00
1971-1979       23               139.00          421.00          560.00
1971-1979       24               165.00          410.00          575.00
1971-1979       25               137.00          327.00          464.00
1971-1979       26               161.00          305.00          466.00
1971-1979       27               109.00          338.00          447.00
1971-1979       28               122.00          304.00          426.00
1971-1979       29               155.00          306.00          461.00
1971-1979       30               142.00          278.00          420.00
1971-1979       31               154.00          316.00          470.00
1971-1979       32               166.00          288.00          454.00
1971-1979       33               169.00          278.00          447.00
1971-1979       34               160.00          301.00          461.00
1971-1979       35               163.00          313.00          476.00
1971-1979       36               168.00          321.00          489.00
1971-1979       37               185.00          369.00          554.00
1971-1979       38               209.00          411.00          620.00
1971-1979       39               242.00          435.00          677.00
1971-1979       40               243.00          425.00          668.00
1971-1979       41               274.00          478.00          752.00
1971-1979       42               343.00          585.00          928.00
1971-1979       43               365.00          671.00         1036.00
1971-1979       44               381.00          791.00         1172.00
1971-1979       45               446.00          833.00         1279.00
1971-1979       46               502.00          963.00         1465.00
1971-1979       47               600.00         1039.00         1639.00
1971-1979       48               610.00         1195.00         1805.00
1971-1979       49               693.00         1365.00         2058.00
1971-1979       50               719.00         1437.00         2156.00
1971-1979       51               793.00         1453.00         2246.00
1971-1979       52               928.00         1770.00         2698.00
1971-1979       53               904.00         1774.00         2678.00
1971-1979       54               951.00         1916.00         2867.00
1971-1979       55              1039.00         1928.00         2967.00
1971-1979       56              1101.00         2112.00         3213.00
1971-1979       57              1171.00         2256.00         3427.00
1971-1979       58              1277.00         2516.00         3793.00
1971-1979       59              1301.00         2673.00         3974.00
1971-1979       60              1424.00         2717.00         4141.00
1971-1979       61              1463.00         2859.00         4322.00
1971-1979       62              1674.00         3125.00         4799.00
1971-1979       63              1837.00         3350.00         5187.00
1971-1979       64              1809.00         3458.00         5267.00
1971-1979       65              2062.00         3728.00         5790.00
1971-1979       66              2004.00         3493.00         5497.00
1971-1979       67              2233.00         3967.00         6200.00
1971-1979       68              2358.00         4041.00         6399.00
1971-1979       69              2413.00         4296.00         6709.00
1971-1979       70              2573.00         4071.00         6644.00
1971-1979       71              2642.00         3997.00         6639.00
1971-1979       72              3018.00         4404.00         7422.00
1971-1979       73              3192.00         4275.00         7467.00
1971-1979       74              3322.00         4354.00         7676.00
1971-1979       75              3512.00         4245.00         7757.00
1971-1979       76              3692.00         4094.00         7786.00
1971-1979       77              3717.00         3785.00         7502.00
1971-1979       78              4016.00         3874.00         7890.00
1971-1979       79              4116.00         3664.00         7780.00
1971-1979       80              4142.00         3372.00         7514.00
1971-1979       81              4009.00         3083.00         7092.00
1971-1979       82              4310.00         3136.00         7446.00
1971-1979       83              4205.00         3012.00         7217.00
1971-1979       84              4266.00         2685.00         6951.00
1971-1979       85              3927.00         2293.00         6220.00
1971-1979       86              3683.00         2117.00         5800.00
1971-1979       87              3191.00         1818.00         5009.00
1971-1979       88              2849.00         1505.00         4354.00
1971-1979       89              2559.00         1215.00         3774.00
1971-1979       90              2132.00          932.00         3064.00
1971-1979       91              1754.00          739.00         2493.00
1971-1979       92              1445.00          586.00         2031.00
1971-1979       93              1186.00          449.00         1635.00
1971-1979       94               971.00          296.00         1267.00
1971-1979       95               700.00          238.00          938.00
1971-1979       96               536.00          173.00          709.00
1971-1979       97               355.00          125.00          480.00
1971-1979       98               236.00           73.00          309.00
1971-1979       99               181.00           58.00          239.00
1971-1979      100                99.49           32.10          131.59
1971-1979      101                61.49           20.15           81.64
1971-1979      102                37.05           12.11           49.16
1971-1979      103                21.45            6.93           28.38
1971-1979      104                12.00            1.71           13.71
1971-1979      105                 5.91            0.00            5.91
1971-1979      106                 0.59            0.00            0.59
1971-1979      107                 0.00            0.00            0.00
1971-1979      108                 0.00            0.00            0.00
1971-1979      109                 0.00            0.00            0.00
1971-1979      110+                0.00            0.00            0.00
1980-1989        0              2302.23         3042.30         5344.53
1980-1989        1               138.02          213.10          351.12
1980-1989        2               113.01          154.05          267.06
1980-1989        3                85.01          138.07          223.08
1980-1989        4                88.01          117.03          205.04
1980-1989        5                53.00           84.03          137.03
1980-1989        6                58.00          102.06          160.06
1980-1989        7                50.00           81.05          131.05
1980-1989        8                52.00           82.02          134.02
1980-1989        9                49.01           77.03          126.04
1980-1989       10                48.01           81.05          129.06
1980-1989       11                45.01           90.07          135.08
1980-1989       12                40.00          104.04          144.04
1980-1989       13                52.00          108.04          160.04
1980-1989       14                66.04          132.08          198.12
1980-1989       15                90.00          155.05          245.05
1980-1989       16               113.01          226.10          339.11
1980-1989       17               138.04          320.13          458.17
1980-1989       18               139.01          521.22          660.23
1980-1989       19               175.02          552.23          727.25
1980-1989       20               176.01          547.22          723.23
1980-1989       21               165.01          540.23          705.24
1980-1989       22               175.02          481.19          656.21
1980-1989       23               144.03          474.15          618.18
1980-1989       24               194.02          505.18          699.20
1980-1989       25               144.02          469.17          613.19
1980-1989       26               161.00          405.15          566.15
1980-1989       27               165.02          426.18          591.20
1980-1989       28               164.02          423.19          587.21
1980-1989       29               175.03          431.17          606.20
1980-1989       30               163.03          379.14          542.17
1980-1989       31               191.02          426.18          617.20
1980-1989       32               182.03          402.13          584.16
1980-1989       33               174.02          421.17          595.19
1980-1989       34               204.02          419.17          623.19
1980-1989       35               221.01          390.16          611.17
1980-1989       36               215.02          372.16          587.18
1980-1989       37               229.02          384.14          613.16
1980-1989       38               235.02          420.16          655.18
1980-1989       39               289.04          471.21          760.25
1980-1989       40               278.03          473.18          751.21
1980-1989       41               290.01          496.18          786.19
1980-1989       42               317.03          549.23          866.26
1980-1989       43               316.03          609.26          925.29
1980-1989       44               324.04          632.29          956.33
1980-1989       45               380.04          695.32         1075.36
1980-1989       46               390.04          733.33         1123.37
1980-1989       47               461.04          745.30         1206.34
1980-1989       48               485.05          876.41         1361.46
1980-1989       49               514.06          987.44         1501.50
1980-1989       50               595.06         1122.51         1717.57
1980-1989       51               602.06         1090.47         1692.53
1980-1989       52               746.07         1399.59         2145.66
1980-1989       53               837.10         1495.67         2332.77
1980-1989       54               849.09         1664.74         2513.83
1980-1989       55               926.11         1829.78         2755.89
1980-1989       56              1060.11         1938.81         2998.92
1980-1989       57              1097.12         2284.97         3382.09
1980-1989       58              1265.14         2517.08         3782.22
1980-1989       59              1404.15         2691.13         4095.28
1980-1989       60              1422.15         2889.20         4311.35
1980-1989       61              1517.14         2912.17         4429.31
1980-1989       62              1755.15         3288.29         5043.44
1980-1989       63              1808.19         3322.37         5130.56
1980-1989       64              1951.20         3458.45         5409.65
1980-1989       65              1996.18         3787.60         5783.78
1980-1989       66              2151.23         3771.61         5922.84
1980-1989       67              2413.25         4025.72         6438.97
1980-1989       68              2446.25         4141.69         6587.94
1980-1989       69              2750.29         4456.89         7207.18
1980-1989       70              2924.31         4465.90         7390.21
1980-1989       71              3066.29         4656.95         7723.24
1980-1989       72              3478.35         5033.09         8511.44
1980-1989       73              3487.36         5056.06         8543.42
1980-1989       74              3693.36         5139.12         8832.48
1980-1989       75              3977.40         5179.10         9156.50
1980-1989       76              4013.39         5188.11         9201.50
1980-1989       77              4171.40         4973.02         9144.42
1980-1989       78              4380.41         4970.00         9350.41
1980-1989       79              4693.47         4881.98         9575.45
1980-1989       80              4671.47         4562.92         9234.39
1980-1989       81              4636.46         4193.68         8830.14
1980-1989       82              4927.50         3998.55         8926.05
1980-1989       83              4934.49         3752.47         8686.96
1980-1989       84              4789.49         3462.38         8251.87
1980-1989       85              4808.47         2916.13         7724.60
1980-1989       86              4653.44         2598.03         7251.47
1980-1989       87              4285.43         2301.93         6587.36
1980-1989       88              3922.37         1892.74         5815.11
1980-1989       89              3702.35         1689.67         5392.02
1980-1989       90              3334.33         1388.54         4722.87
1980-1989       91              2972.26         1059.46         4031.72
1980-1989       92              2531.24          951.43         3482.67
1980-1989       93              2188.21          714.29         2902.50
1980-1989       94              1752.16          561.22         2313.38
1980-1989       95              1274.12          376.11         1650.23
1980-1989       96               983.08          284.11         1267.19
1980-1989       97               771.07          189.07          960.14
1980-1989       98               518.05          113.06          631.11
1980-1989       99               343.02           81.02          424.04
1980-1989      100               236.20           52.37          288.57
1980-1989      101               149.63           32.35          181.98
1980-1989      102                91.03           19.59          110.62
1980-1989      103                53.47           11.39           64.86
1980-1989      104                30.66            4.91           35.57
1980-1989      105                17.00            1.43           18.43
1980-1989      106                 8.60            0.00            8.60
1980-1989      107                 2.45            0.00            2.45
1980-1989      108                 0.00            0.00            0.00
1980-1989      109                 0.00            0.00            0.00
1980-1989      110+                0.00            0.00            0.00
1990-1999        0              1520.00         2001.27         3521.27
1990-1999        1               142.00          164.04          306.04
1990-1999        2                80.00          126.03          206.03
1990-1999        3                46.00           97.04          143.04
1990-1999        4                67.00           76.00          143.00
1990-1999        5                50.00           53.00          103.00
1990-1999        6                31.00           46.00           77.00
1990-1999        7                35.00           47.00           82.00
1990-1999        8                40.00           73.00          113.00
1990-1999        9                27.00           45.00           72.00
1990-1999       10                29.00           47.00           76.00
1990-1999       11                30.00           42.01           72.01
1990-1999       12                39.00           52.01           91.01
1990-1999       13                61.00           81.02          142.02
1990-1999       14                69.00           92.03          161.03
1990-1999       15                61.00          106.00          167.00
1990-1999       16                66.00          158.02          224.02
1990-1999       17                90.00          223.06          313.06
1990-1999       18               131.00          349.06          480.06
1990-1999       19               114.00          396.04          510.04
1990-1999       20               160.00          376.04          536.04
1990-1999       21               120.00          389.05          509.05
1990-1999       22               132.00          404.06          536.06
1990-1999       23               145.00          471.06          616.06
1990-1999       24               133.00          419.06          552.06
1990-1999       25               144.00          400.04          544.04
1990-1999       26               150.00          422.06          572.06
1990-1999       27               131.00          440.06          571.06
1990-1999       28               134.00          424.03          558.03
1990-1999       29               168.00          428.06          596.06
1990-1999       30               177.00          456.06          633.06
1990-1999       31               182.00          430.05          612.05
1990-1999       32               186.00          435.05          621.05
1990-1999       33               190.00          420.06          610.06
1990-1999       34               220.00          453.06          673.06
1990-1999       35               202.00          472.07          674.07
1990-1999       36               218.00          496.07          714.07
1990-1999       37               270.00          450.04          720.04
1990-1999       38               279.00          479.06          758.06
1990-1999       39               279.00          427.05          706.05
1990-1999       40               331.00          523.08          854.08
1990-1999       41               337.00          558.09          895.09
1990-1999       42               349.00          608.09          957.09
1990-1999       43               393.00          622.08         1015.08
1990-1999       44               383.00          702.10         1085.10
1990-1999       45               387.00          689.09         1076.09
1990-1999       46               452.00          767.10         1219.10
1990-1999       47               483.00          759.09         1242.09
1990-1999       48               531.00          827.09         1358.09
1990-1999       49               511.00          889.10         1400.10
1990-1999       50               599.00          979.10         1578.10
1990-1999       51               595.00          985.14         1580.14
1990-1999       52               674.00         1046.16         1720.16
1990-1999       53               649.00         1108.15         1757.15
1990-1999       54               706.00         1238.16         1944.16
1990-1999       55               716.00         1298.19         2014.19
1990-1999       56               811.00         1359.19         2170.19
1990-1999       57               876.00         1578.21         2454.21
1990-1999       58               908.00         1669.23         2577.23
1990-1999       59              1027.00         1849.25         2876.25
1990-1999       60              1080.00         2055.27         3135.27
1990-1999       61              1158.00         2252.27         3410.27
1990-1999       62              1303.00         2476.36         3779.36
1990-1999       63              1484.00         2730.37         4214.37
1990-1999       64              1557.00         2892.42         4449.42
1990-1999       65              1747.00         3235.43         4982.43
1990-1999       66              1992.00         3483.46         5475.46
1990-1999       67              2113.00         3835.50         5948.50
1990-1999       68              2326.00         4031.52         6357.52
1990-1999       69              2526.00         4237.56         6763.56
1990-1999       70              2833.00         4612.62         7445.62
1990-1999       71              2963.00         4713.59         7676.59
1990-1999       72              3141.00         4862.63         8003.63
1990-1999       73              3397.00         4988.65         8385.65
1990-1999       74              3609.00         5125.68         8734.68
1990-1999       75              3820.00         5034.69         8854.69
1990-1999       76              4243.00         5336.71         9579.71
1990-1999       77              4460.00         5478.72         9938.72
1990-1999       78              4663.00         5409.74        10072.74
1990-1999       79              4876.00         5411.68        10287.68
1990-1999       80              5224.00         5269.67        10493.67
1990-1999       81              5333.00         5291.68        10624.68
1990-1999       82              5643.00         5144.66        10787.66
1990-1999       83              5711.00         4774.63        10485.63
1990-1999       84              5938.00         4710.62        10648.62
1990-1999       85              5799.00         4240.54        10039.54
1990-1999       86              5714.00         4021.53         9735.53
1990-1999       87              5457.00         3395.45         8852.45
1990-1999       88              5070.00         2967.40         8037.40
1990-1999       89              4778.00         2583.33         7361.33
1990-1999       90              4467.00         2208.28         6675.28
1990-1999       91              4052.00         1721.22         5773.22
1990-1999       92              3513.00         1406.19         4919.19
1990-1999       93              3001.00         1099.14         4100.14
1990-1999       94              2505.00          755.09         3260.09
1990-1999       95              2065.00          609.08         2674.08
1990-1999       96              1589.00          430.06         2019.06
1990-1999       97              1192.00          302.05         1494.05
1990-1999       98               902.00          200.02         1102.02
1990-1999       99               661.00          145.03          806.03
1990-1999      100               469.76           91.95          561.71
1990-1999      101               318.43           57.59          376.02
1990-1999      102               208.37           35.02          243.39
1990-1999      103               131.95           20.98          152.93
1990-1999      104                80.82           12.22           93.04
1990-1999      105                47.90            6.07           53.97
1990-1999      106                27.63            1.20           28.83
1990-1999      107                15.44            0.00           15.44
1990-1999      108                 8.31            0.00            8.31
1990-1999      109                 1.41            0.00            1.41
1990-1999      110+                0.00            0.00            0.00
2000-2009        0              1244.07         1620.14         2864.21
2000-2009        1                87.00          102.00          189.00
2000-2009        2                44.00           53.00           97.00
2000-2009        3                39.01           66.01          105.02
2000-2009        4                35.01           38.00           73.01
2000-2009        5                27.01           55.00           82.01
2000-2009        6                30.00           26.01           56.01
2000-2009        7                28.00           32.00           60.00
2000-2009        8                17.00           41.00           58.00
2000-2009        9                26.00           37.02           63.02
2000-2009       10                25.01           39.00           64.01
2000-2009       11                30.00           41.01           71.01
2000-2009       12                24.00           42.00           66.00
2000-2009       13                40.01           33.00           73.01
2000-2009       14                39.00           51.01           90.01
