WA, Life tables (period 5x5), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01550  0.01529  0.12  100000    1529   98650  7626307  76.26
1971-1974      1-4      0.00092  0.00367  1.49   98471     362  392976  7527656  76.45
1971-1974      5-9      0.00028  0.00140  2.58   98109     137  490215  7134680  72.72
1971-1974     10-14     0.00019  0.00094  2.21   97972      92  489604  6644465  67.82
1971-1974     15-19     0.00060  0.00299  2.79   97880     293  488753  6154862  62.88
1971-1974     20-24     0.00047  0.00236  2.46   97587     230  487351  5666109  58.06
1971-1974     25-29     0.00041  0.00204  2.53   97357     198  486295  5178757  53.19
1971-1974     30-34     0.00067  0.00334  2.47   97159     324  484974  4692463  48.30
1971-1974     35-39     0.00130  0.00648  2.73   96834     627  482751  4207489  43.45
1971-1974     40-44     0.00181  0.00904  2.77   96207     869  479094  3724738  38.72
1971-1974     45-49     0.00315  0.01562  2.69   95338    1489  473255  3245644  34.04
1971-1974     50-54     0.00461  0.02278  2.44   93849    2138  463777  2772389  29.54
1971-1974     55-59     0.00744  0.03657  2.64   91711    3354  450649  2308612  25.17
1971-1974     60-64     0.01121  0.05461  2.67   88357    4825  430547  1857963  21.03
1971-1974     65-69     0.01750  0.08409  2.69   83532    7024  401452  1427416  17.09
1971-1974     70-74     0.03042  0.14204  2.68   76508   10867  357287  1025964  13.41
1971-1974     75-79     0.05527  0.24468  2.66   65641   16061  290599   668677  10.19
1971-1974     80-84     0.08611  0.35649  2.59   49580   17675  205266   378078   7.63
1971-1974     85-89     0.14480  0.52221  2.33   31905   16661  115060   172812   5.42
1971-1974     90-94     0.23598  0.71041  2.20   15244   10829   45892    57751   3.79
1971-1974     95-99     0.35583  0.85084  1.93    4415    3756   10556    11860   2.69
1971-1974    100-104    0.49721  0.93240  1.65     658     614    1235     1304   1.98
1971-1974    105-109    0.64023  0.96963  1.41      45      43      67       69   1.56
1971-1974    110+       0.74823  1.00000  1.34       1       1       2        2   1.34
1975-1979        0      0.01091  0.01081  0.13  100000    1081   99056  7785192  77.85
1975-1979      1-4      0.00068  0.00271  1.53   98919     268  395014  7686136  77.70
1975-1979      5-9      0.00023  0.00116  2.26   98651     115  492940  7291122  73.91
1975-1979     10-14     0.00019  0.00097  2.66   98536      96  492456  6798182  68.99
1975-1979     15-19     0.00049  0.00245  2.77   98440     241  491662  6305727  64.06
1975-1979     20-24     0.00050  0.00249  2.28   98199     244  490328  5814065  59.21
1975-1979     25-29     0.00044  0.00218  2.58   97954     214  489255  5323736  54.35
1975-1979     30-34     0.00058  0.00288  2.71   97740     282  488058  4834481  49.46
1975-1979     35-39     0.00094  0.00471  2.78   97459     459  486276  4346422  44.60
1975-1979     40-44     0.00174  0.00867  2.66   97000     841  483031  3860146  39.80
1975-1979     45-49     0.00279  0.01385  2.74   96159    1331  477784  3377115  35.12
1975-1979     50-54     0.00419  0.02072  2.61   94827    1965  469444  2899331  30.57
1975-1979     55-59     0.00607  0.02994  2.64   92863    2780  457766  2429887  26.17
